"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20161","03105284",16,0,"1",.,"A"
"20161","03105314",36,0,"1",.,"A"
"20161","03105324",42,0,"1",.,"A"
"20161","03105344",15,0,"1",.,"A"
"20161","03105354",102,0,"1",.,"A"
"20161","03105394",31,0,"1",.,"A"
"20161","03105534",23,0,"1",.,"A"
"20161","03105564",22,0,"1",.,"A"
"20161","03105574",34,0,"1",.,"A"
"20161","03105754",31,0,"1",.,"A"
"20161","03105764",31,0,"1",.,"A"
"20161","03105794",8,0,"1",.,"A"
"20161","03105854",62,0,"1",.,"A"
"20161","03105884",31,0,"1",.,"A"
"20161","03105914",30,0,"1",.,"A"
"20161","03105994",51,0,"1",.,"A"
"20161","03106004",19,0,"1",.,"A"
"20161","03106074",79,0,"1",.,"A"
"20161","03106124",27,0,"1",.,"A"
"20161","03106204",19,0,"1",.,"A"
"20161","03106224",70,0,"1",.,"A"
"20161","03106294",26,0,"1",.,"A"
"20161","03106314",13,0,"1",.,"A"
"20161","03106324",49,0,"1",.,"A"
"20161","03106354",30,0,"1",.,"A"
"20161","03106384",48,0,"1",.,"A"
"20161","03106394",33,0,"1",.,"A"
"20161","03106444",18,0,"1",.,"A"
"20161","03106484",16,0,"1",.,"A"
"20161","03106494",23,0,"1",.,"A"
"20161","03106504",49,0,"1",.,"A"
"20161","03106564",50,0,"1",.,"A"
"20161","03106594",34,0,"1",.,"A"
"20161","03106614",23,0,"1",.,"A"
"20161","03106664",93,0,"1",.,"A"
"20161","03106684",47,0,"1",.,"A"
"20161","03106694",30,0,"1",.,"A"
"20161","03106714",51,0,"1",.,"A"
"20161","03106724",24,0,"1",.,"A"
"20161","03106754",14,0,"1",.,"A"
"20161","03106764",4,0,"1",.,"A"
"20161","03106794",32,0,"1",.,"A"
"20161","03106814",39,0,"1",10,"D"
"20161","03106864",47,0,"1",.,"A"
"20161","03107004",50,0,"1",.,"A"
"20161","03107024",28,0,"1",.,"A"
"20161","03107034",37,0,"1",.,"A"
"20161","03107064",42,0,"1",.,"A"
"20161","03107174",25,0,"1",.,"A"
"20161","03107214",34,0,"1",.,"A"
"20161","03107274",19,0,"1",.,"A"
"20161","03107304",30,0,"1",.,"A"
"20161","03107344",39,0,"1",.,"A"
"20161","03107364",36,0,"1",.,"A"
"20161","03107374",30,0,"1",.,"A"
"20161","03107384",69,0,"1",.,"A"
"20161","03107434",48,0,"1",.,"A"
"20161","03107454",57,0,"1",.,"A"
"20161","03107604",109,0,"1",.,"A"
"20161","03107624",9,0,"1",.,"A"
"20161","03107634",21,0,"1",.,"A"
"20161","03107664",49,0,"1",.,"A"
"20161","03107674",13,0,"1",.,"A"
"20161","03107714",29,0,"1",.,"A"
"20161","03107734",14,0,"1",.,"A"
"20161","03107834",29,0,"1",.,"A"
"20161","03107984",41,0,"1",.,"A"
"20161","03107994",25,0,"1",.,"A"
"20161","03108074",57,0,"1",.,"A"
"20161","03108114",38,0,"1",.,"A"
"20161","03108254",17,0,"1",.,"A"
"20161","03108294",43,0,"1",.,"A"
"20161","03108304",14,0,"1",.,"A"
"20161","03108354",9,0,"1",.,"A"
"20161","03108364",31,0,"1",.,"A"
"20161","03108394",26,0,"1",.,"A"
"20161","03108454",76,0,"1",.,"A"
