"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20161","03090724",45,0,"1",1300,"D",260,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1040,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090834",42,0,"1",1560,"D",260,"D",.,"A",260,"D",0,"D",.,"A",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090854",35,0,"1",2600,"D",650,"D",.,"A",520,"D",0,"D",.,"A",.,"A",1950,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090864",22,0,"1",1812,"F",.,"A",.,"A",648,"F",144,"F",.,"A",.,"A",1569,"F",183,"F",.,"A",.,"A",.,"A",.,"A"
"20161","03090914",52,0,"1",3250,"D",910,"D",130,"D",520,"D",60,"D",.,"A",.,"A",2340,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03090934",47,0,"1",1235,"D",195,"D",.,"A",910,"D",0,"D",.,"A",.,"A",1040,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091004",22,0,"1",1300,"D",325,"D",.,"A",0,"D",0,"D",.,"A",180,"D",975,"D",30,"D",21,"D",273,"D",.,"A",.,"A"
"20161","03091054",25,0,"1",130,"D",26,"D",.,"A",130,"D",0,"D",.,"A",.,"A",104,"D",0,"D",15,"D",195,"D",.,"A",.,"A"
"20161","03091114",28,0,"1",1950,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1690,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20161","03091144",89,0,"1",1300,"D",130,"D",325,"D",1300,"D",15,"D",.,"A",180,"D",1170,"D",15,"D",.,"A",.,"A",.,"A",.,"A"
