"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20161","03168894",20,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03168894",21,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03169654",12,0,"1","110","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03169904",23,0,"1","110","D","4","D","01","D",.,"A",.,"A",6500,"D","2","D",.,"A","02","D"
"20161","03170294",32,0,"1","160","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03171134",40,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03171264",19,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03171454",17,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03171544",25,0,"2","100","D","1","D","12","D",800,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03171544",26,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03172314",34,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03172474",42,0,"2","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03172994",25,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03173134",12,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03173214",10,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03173224",18,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03184683",43,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03184723",36,0,"1","100","D","4","D","10","D",.,"A",4400,"F",.,"A","2","D",.,"A","02","D"
"20161","03184723",37,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03184753",15,0,"1","100","D","1","D","12","D",15000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03184983",50,0,"1","110","D","1","D","12","D",5500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03184983",51,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03184983",52,0,"1","160","D","1","D","11","D",6400,"T",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03185133",24,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03185643",33,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03185643",34,0,"1","110","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20161","03185704",41,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20161","03186103",26,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03186583",23,0,"1","110","D","1","D","12","D",400,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03186713",41,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03186913",50,0,"1","100","D","1","D","11","D",2800,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03187453",17,0,"2","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03187703",17,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03187953",50,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03188263",12,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03188353",38,0,"1","100","D","5","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03189033",55,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",2500,"D","02","D"
"20161","03189633",26,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03189824",17,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03190593",56,0,"1","110","D","1","D","10","D",150,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03190843",21,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03191093",19,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03192403",30,0,"1","100","D","1","D","11","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03192553",13,0,"1","110","D","1","D","11","D",400,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03193133",28,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03193813",38,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","03","D"
"20161","03194573",47,0,"1","150","D","1","D","11","D",5500,"D",.,"A",.,"A","1","D",550,"D","03","D"
"20161","03194953",32,0,"1","200","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03206003",47,0,"1","110","D","1","D","11","D",2100,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03206473",43,0,"1","100","D","1","D","12","D",4000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03206803",39,0,"1","100","D","1","D","01","D",6000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03207243",29,0,"2","100","D","4","D","11","D",.,"A",20000,"D",.,"A","2","D",.,"A","01","D"
"20161","03207243",30,0,"2","110","D","1","D","11","D",2000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03207683",16,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20161","03208123",25,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03208563",10,0,"1","110","D","5","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03208743",41,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",7000,"D","01","D"
"20161","03209233",20,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03210013",37,0,"2","110","D","1","D","11","D",150,"F",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03210013",38,0,"1","100","D","1","D","12","D",1500,"D",.,"A",.,"A","2","D",.,"A","05","D"
"20161","03210043",14,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03210223",29,0,"1","110","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03210223",30,0,"1","130","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20161","03210283",32,0,"1","100","D","1","D","12","D",3600,"D",.,"A",.,"A","1","D",3600,"D","02","D"
"20161","03210343",72,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03210343",73,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20161","03210683",47,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",800,"D","01","D"
"20161","03210773",14,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03211093",21,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",15500,"F","01","D"
"20161","03211333",34,0,"1","100","D","1","D","11","D",600,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03211503",31,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20161","03211933",34,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20161","03211993",18,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03212133",48,0,"1","110","D","4","D","01","D",.,"A",6600,"D",.,"A","2","D",.,"A","03","D"
"20161","03212333",17,0,"1","100","D","4","D","01","D",.,"A",3900,"D",.,"A","2","D",.,"A","01","D"
"20161","03212473",28,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03212773",14,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03213053",40,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20161","03213173",35,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20161","03213883",28,0,"2","200","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
