"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20163","03426962",19,0,"5","01","D","105","D","2015","D",.,"A",42,"D","12","D",370,"D","3","D",.,"A",7000,"D",.,"A",.,"A",,"A",370,"D",370,"D",370,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","JEE"
"20163","03427242",7,0,"5","01","D","105","D","2014","D",.,"A",36,"D","01","D",297,"D","3","D",.,"A",100,"D",.,"A",.,"A",,"A",297,"D",297,"D",297,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","FOR"
"20163","03427292",19,0,"1","01","D","105","D","2011","D",.,"A",51,"D","09","D",287,"D","3","D",.,"A",500,"D",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","CHE"
"20163","03427382",17,0,"5","01","D","105","D","2016","D",.,"A",36,"D","01","D",400,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",400,"D",400,"D",400,"D",17,"D",17,"D",17,"D",3000,"D",.,"A","D",,"A","2016","D","JEE"
"20163","03427422",12,0,"1","01","D","105","D","2013","D",.,"A",48,"D","06","D",355,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",355,"D",355,"D",355,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","NIS"
"20163","03427802",27,0,"5","01","D","105","D","2014","D",.,"A",36,"D","05","F",525,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",525,"D",525,"D",525,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","AUD"
"20163","03428052",6,0,"5","01","D","105","D","2014","D",.,"A",36,"D","06","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","JEE"
"20163","03428542",12,0,"5","01","D","105","D","2016","D",.,"A",36,"D","12","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","HON"
"20163","03428662",7,0,"5","01","D","105","D","2015","D",.,"A",39,"D","06","D",.,"C","3","D",.,"A",.,"A",.,"C",.,"A",,"A",240,"F",240,"F",240,"F",.,"A",.,"A",.,"A",.,"B",.,"A","D",,"A","2015","D","CHE"
"20163","03428662",8,0,"5","02","D","105","D","2013","D",.,"A",39,"D","05","D",265,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",265,"D",265,"D",265,"D",.,"A",.,"A",.,"A",.,"B",.,"A","D",,"A","2013","D","GMC"
"20163","03428812",15,0,"5","01","D","105","D","2013","D",.,"A",36,"D","07","D",400,"D","3","D",.,"A",1500,"D",1000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2013","D","INF"
"20163","03428982",5,0,"5","01","D","105","D","2015","D",.,"A",36,"D","05","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",238,"F",238,"F",238,"F",6,"F",6,"F",6,"F",.,"A",.,"A","D",,"A","2015","D","NIS"
"20163","03440971",10,0,"1","01","D","105","D","2015","D",.,"A",36,"D","09","D",1000,"D","3","D",500,"D",12000,"D",.,"A",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","BMW"
"20163","03441821",69,0,"1","01","D","105","D","2015","D",.,"A",39,"D","11","D",358,"D","3","D",.,"A",14000,"D",.,"A",.,"A",,"A",358,"D",358,"D",358,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","DOD"
"20163","03441861",16,0,"1","01","D","105","D","2014","D",.,"A",36,"D","06","D",424,"D","3","D",.,"A",2500,"D",2500,"D",.,"A",,"A",424,"D",424,"D",424,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","D",,"A","2014","D","MAZ"
"20163","03441954",11,0,"1","01","D","105","D","2016","D",.,"A",24,"D","04","D",348,"D","3","D",.,"A",300,"D",1000,"D",.,"A",,"A",348,"D",348,"D",348,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2016","D","CHE"
"20163","03442041",8,0,"1","01","D","105","D","2014","D",.,"A",36,"D","01","D",265,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",265,"D",265,"D",265,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","D",,"A","2014","D","CAD"
"20163","03442361",22,0,"1","01","D","105","D","2013","D",.,"A",39,"D","04","D",398,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",398,"D",398,"D",398,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","INF"
"20163","03442361",23,0,"1","02","D","105","D","2014","D",.,"A",39,"D","03","D",564,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",564,"D",564,"D",564,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2014","D","INF"
"20163","03443011",18,0,"1","01","D","105","D","2013","D",.,"A",36,"D","01","D",519,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",519,"D",519,"D",519,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","LEX"
"20163","03443491",3,0,"1","01","D","105","D","2016","D",.,"A",36,"D","06","D",249,"D","3","D",.,"A",2000,"D",1000,"D",.,"A",,"A",.,"A",.,"A",249,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2016","D","HYU"
"20163","03443491",4,0,"1","02","D","105","D","2014","D",.,"A",36,"D","04","D",183,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",183,"D",183,"D",183,"D",14,"D",14,"D",14,"D",2500,"D",.,"A","D",,"A","2014","D","HYU"
"20163","03443611",9,0,"1","01","D","105","D","2016","D",.,"A",36,"D","04","D",325,"D","3","D",.,"A",11000,"D",100,"D",.,"A",,"A",325,"D",325,"D",325,"D",.,"A",.,"A",.,"A",100,"D",.,"A","D",,"A","2016","D","DOD"
"20163","03444391",4,0,"1","01","D","105","D","2016","D",.,"A",36,"D","04","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"C",.,"C",.,"C",.,"A",.,"A","D",,"A","2016","D","JEE"
"20163","03444711",8,0,"1","01","D","105","D","2016","D",.,"A",36,"D","05","D",363,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",363,"D",363,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","TOY"
