"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792095","01","2015","800940","2",286.9167,,"3"
"02792095","01","2015","800940","2",286.9167,,"4"
"02792095","01","2015","800940","2",286.9167,,"5"
"02792095","11","2014","900000","2",3750,,"1"
"02792095","11","2014","900000","2",3750,,"2"
"02792095","11","2014","900000","2",3750,,"3"
"02792095","11","2014","900000","2",3750,,"4"
"02792095","11","2014","900000","2",3750,,"5"
"02792095","12","2014","900000","2",3750,,"1"
"02792095","12","2014","900000","2",3750,,"2"
"02792095","12","2014","900000","2",3750,,"3"
"02792095","12","2014","900000","2",3750,,"4"
"02792095","12","2014","900000","2",3750,,"5"
"02792095","01","2015","900000","2",3750,,"1"
"02792095","01","2015","900000","2",3750,,"2"
"02792095","01","2015","900000","2",3750,,"3"
"02792095","01","2015","900000","2",3750,,"4"
"02792095","01","2015","900000","2",3750,,"5"
"02792095","11","2014","980000","2",3750,,"1"
"02792095","11","2014","980000","2",3750,,"2"
"02792095","11","2014","980000","2",3750,,"3"
"02792095","11","2014","980000","2",3750,,"4"
"02792095","11","2014","980000","2",3750,,"5"
"02792095","12","2014","980000","2",3750,,"1"
"02792095","12","2014","980000","2",3750,,"2"
"02792095","12","2014","980000","2",3750,,"3"
"02792095","12","2014","980000","2",3750,,"4"
"02792095","12","2014","980000","2",3750,,"5"
"02792095","01","2015","980000","2",3750,,"1"
"02792095","01","2015","980000","2",3750,,"2"
"02792095","01","2015","980000","2",3750,,"3"
"02792095","01","2015","980000","2",3750,,"4"
"02792095","01","2015","980000","2",3750,,"5"
"02792095","11","2014","980071","2",3363.0833,,"1"
"02792095","11","2014","980071","2",3363.0833,,"2"
"02792095","11","2014","980071","2",3363.0833,,"3"
"02792095","11","2014","980071","2",3363.0833,,"4"
"02792095","11","2014","980071","2",3363.0833,,"5"
"02792095","12","2014","980071","2",3363.0833,,"1"
"02792095","12","2014","980071","2",3363.0833,,"2"
"02792095","12","2014","980071","2",3363.0833,,"3"
"02792095","12","2014","980071","2",3363.0833,,"4"
"02792095","12","2014","980071","2",3363.0833,,"5"
"02792095","01","2015","980071","2",3363.0833,,"1"
"02792095","01","2015","980071","2",3363.0833,,"2"
"02792095","01","2015","980071","2",3363.0833,,"3"
"02792095","01","2015","980071","2",3363.0833,,"4"
"02792095","01","2015","980071","2",3363.0833,,"5"
"02792115","11","2014","800940","2",358.3333,,"1"
"02792115","11","2014","800940","2",661.75,,"2"
"02792115","11","2014","800940","2",137,,"3"
"02792115","11","2014","800940","2",276.9167,,"4"
"02792115","11","2014","800940","2",518,,"5"
"02792115","12","2014","800940","2",358.3333,,"1"
"02792115","12","2014","800940","2",661.75,,"2"
"02792115","12","2014","800940","2",137,,"3"
"02792115","12","2014","800940","2",276.9167,,"4"
"02792115","12","2014","800940","2",518,,"5"
"02792115","01","2015","800940","2",358.3333,,"1"
"02792115","01","2015","800940","2",661.75,,"2"
"02792115","01","2015","800940","2",137,,"3"
"02792115","01","2015","800940","2",276.9167,,"4"
