"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2613085,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",23200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5400,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1594,0,1630,1582.5,0,0,3085.6,3085.6,23200,23200,0,0,0,0,0,0,0,0,0,0,23200,23200,0,0,1630,1582.5,1630,1582.5,0,0,0,0,0,0,0,0,0,0,0
2613145,1,"2012","2011",0,0.133,0.133,"2",0.25,0.25,"0","T",0,0,0,"D",0,"D",60000,"D",36000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",45,"D",0,"D",0,"D",476,"D",11264,0,11500,11185,0,0,12768,12768,96000,96000,0,0,0,0,0,0,0,0,0,0,96000,96000,0,0,11500,11185,11500,11185,0,0,0,0,0,0,0,0,0,0,0
2613165,1,"2012","2011",0,0.133,0.133,"1",0.1765,0.1765,"50","D",0.1163,0.1163,0,"D",0,"D",13440,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",500,"D",4,"D",0,"D",0,"D",0,"D",341,62,377.53,329.29,73.69,57.79,1787.52,1787.52,13440,13440,13440.01,13440.01,0,0,0,0,0,0,16.47,39.71,13440,13440,0,0,394,369,394,369,9410.4,9756,0,0,17.48,17.48,0,0,0,0,0
2613165,2,"2012","2011",0,0.133,0.133,"1",0.1765,0.1765,"50","D",0.046,0.046,0,"D",0,"D",13440,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",341,141,377.53,329.29,153.16,137.26,1787.52,1787.52,13440,13440,13440.01,13440.01,0,0,0,0,0,0,16.47,39.71,13440,13440,0,0,394,369,394,369,9410.4,9756,0,0,0,0,0,0,0,0,0
2613175,1,"2012","2011",0,0,0,"1",0,0,"05","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",7200,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769,3841,0,0,0,0,0,0,0,0,0
2613205,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",32671,"D",17069,"D",0,"D",0,"D",0,"D",0,"D",4920,"D",0,"D",23,"D",0,"D",0,"D",0,"D",3690,1527,3761,3666,1527.02,1527.02,6615.42,6615.42,49740,49740,49740.01,49740.01,0,0,0,0,0,0,0,0,49740,49740,0,0,3761,3666,3761,3666,0,0,0,0,0,0,0,0,0,0,0
2613245,1,"2012","2011",0,0.0524,0.0524,"2",0.35,0.35,"44","D",0,0,2,"D",2,"D",40800,"D",140487,"D",54140,"D",91379,"D",23938,"D",0,"D",0,"D",14700,"D",74,"D",0,"D",0,"D",17220,"D",79728,0,80630.66,79426.66,0,0,20607.72,20950.92,347153.3,347153.3,0,0,0,0,0,0,0,0,0,0,329933.3,329933.3,2437.2,1851.83,78193.45,77574.83,78193.45,77574.83,0,0,0,0,0,0,0,0,0,0,0
2613275,1,"2012","2011",0,0,0,"1",0,0,"0","T",0,0,1,"D",1,"D",0,"D",0,"D",97,"D",795,"D",7200,"D",0,"D",0,"D",0,"D",218,"D",0,"D",0,"D",520,"D",0,0,0,0,0,0,0,0,892,892,0,0,0,0,0,0,0,0,0,0,892,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613285,1,"2012","2011",0,0,0,"1",0,0,"10","D",0,0,1,"D",1,"D",0,"D",0,"D",50,"D",6000,"D",24048,"D",0,"D",0,"D",1900,"D",105,"D",0,"D",0,"D",32888,"D",0,0,0,0,0,0,0,0,6050,6050,0,0,0,0,0,0,0,0,0,0,6050,6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613295,1,"2012","2011",0,0.133,0.133,"2",0.1489,0.2482,"44","D",0,0,0,"D",0,"D",60328,"D",31246,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3338,"D",910,"D",0,"D",0,"D",8800,"D",9646,0,9762.53,9606.61,0,0,12179.34,12179.34,91574,91574,0,0,0,0,0,0,0,0,0,0,82774,82774,0,0,9762.53,9606.61,9762.53,9606.61,0,0,0,0,0,0,0,0,0,0,0
2613305,1,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",43535,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10680,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4645,0,4680.25,4632.75,0,0,5790.16,5790.16,43535,43535,0,0,0,0,0,0,0,0,0,0,43535,43535,0,0,4680.25,4632.75,4680.25,4632.75,0,0,0,0,0,0,0,0,0,0,0
2613315,1,"2012","2011",2,0.133,0.133,"3",-0.55,-0.55,"33","D",-0.1695,-0.1695,0,"D",0,"D",10256,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9600,"D",0,"D",78,"D",0,"D",2,"D",0,"D",-5191,-1590,-5190.8,-5190.8,-1589.89,-1589.89,1364.05,1364.05,10256,10256,10256.01,10256.01,0,0,1088.4,1088.4,0,0,4102.4,4102.4,10256,10256,0,0,0,0,0,0,10500,10500,0,0,0,0,0,0,1230.72,1230.72,0
2613315,2,"2012","2011",0,0.133,0.133,"1",0.0765,0.0765,"33","D",0.023,0.0229,0,"D",0,"D",11503,"D",0,"D",-4692,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-182,-55,-164.66,-187.9,-49.4,-56.37,1529.9,1529.9,6811,6811,6811.01,6811.01,0,0,0,0,0,0,164.66,187.9,6811,6811,0,0,0,0,0,0,7500,7500,0,0,0,0,0,0,49.4,56.37,0
2613335,1,"2012","2011",1,0.133,0.133,"2",0.15,0.15,"44","D",0,0,0,"D",0,"D",15000,"D",36000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",0,"D",0,"D",1,"D",1644,"D",2313,0,2395,2285,0,0,6783,6783,51000,51000,0,0,1000,1000,0,0,0,0,0,0,51000,51000,0,0,3395,3285,3395,3285,0,0,0,0,0,0,0,0,0,0,0
2613355,1,"2012","2011",4,0.133,0.133,"2",0.15,0.15,"33","D",0.0645,0.0685,0,"D",0,"D",40000,"D",28935,"D",0,"D",0,"D",0,"D",0,"D",14400,"D",0,"D",20,"D",0,"D",3,"D",0,"D",1304,1607,1420.25,1265.25,1636.55,1596.81,9168.36,9168.36,68935,68935,68935.01,68935.01,3000,3000,0,0,0,0,0,0,68935,68935,0,0,4420.25,4265.25,4420.25,4265.25,15000,15000,0,0,0,0,0,0,0,0,0
2613365,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"33","D",-0.12,-0.12,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",0,"D",0,"D",0,"D",908,"D",0,-275,0,0,-275,-275,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,10500,0,0,75,75,0,0,0,0,0
2613375,1,"2012","2011",3,0.133,0.133,"2",0.15,0.25,"0","T",0,0,0,"D",0,"D",60000,"D",48648,"D",-7480,"D",0,"D",0,"D",0,"D",0,"D",2700,"D",1496,"D",0,"D",2,"D",5816,"D",7757,0,8017,7670.2,0,0,14450.18,14450.18,101168,101168,0,0,2000,2000,0,0,0,0,0,0,101168,101168,0,0,10017,9670.2,10017,9670.2,0,0,0,0,0,0,0,0,0,0,0
2613435,1,"2012","2011",0,0,0,"1",0,-0.0765,"44","D",0,0,1,"D",0,"D",0,"D",0,"D",0,"D",900,"D",0,"D",0,"D",6960,"D",0,"D",0,"D",0,"D",0,"D",300,"D",0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613445,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"12","D",0.0707,0.0707,2,"D",2,"D",31590,"D",14400,"D",-11692,"D",42600,"D",10176,"D",0,"D",0,"D",900,"D",8,"D",0,"D",0,"D",960,"D",8716,4132,8787.14,8692.14,4132.22,4132.22,6116.67,6116.67,85547.6,85547.6,76898.01,76898.01,0,0,0,0,0,0,0,0,85547.6,85547.6,0,0,8787.14,8692.14,8787.14,8692.14,4000,4000,5987.79,5987.79,0,0,0,0,0,0,0
2613445,2,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"12","D",0.076,0.076,0,"D",0,"D",27340,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2215,1331,2251,2203.5,1331.4,1331.4,3636.22,3636.22,27340,27340,27340.01,27340.01,0,0,0,0,0,0,0,0,27340,27340,0,0,2251,2203.5,2251,2203.5,2000,2000,1331.4,1331.4,0,0,0,0,0,0,0
2613495,1,"2012","2011",0,0.0422,0.0422,"2",0.25,0.25,"02","D",0,0,0,"D",0,"D",17000,"D",117000,"D",-1622,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",440,"D",0,"D",0,"D",10092,"D",19781,0,19961.22,19721.21,0,0,16761.2,17104.4,132378,132378,0,0,0,0,0,0,0,0,0,0,122286,122286,0,0,19961.22,19721.21,19961.22,19721.21,0,0,0,0,0,0,0,0,0,0,0
2613505,1,"2012","2011",0,0.133,0.133,"1",0.1,0.1,"10","D",0,0,1,"D",1,"D",14000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",800,"D",0,"D",0,"D",0,"D",240,"D",286,0,305,280,0,0,1862,1862,14000,14000,0,0,0,0,0,0,0,0,0,0,14000,14000,0,0,305,280,305,280,0,0,0,0,0,0,0,0,0,0,0
2613545,1,"2012","2011",0,0.133,0.133,"1",0,0,"0","T",0,0,0,"D",0,"D",7000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5040,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-472,0,-464,-475,0,0,931,931,7000,7000,0,0,0,0,0,0,0,0,464,475,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613555,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"10","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2613565,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"0","T",0,0,0,"D",0,"D",42000,"D",1000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",60,"D",20,"D",0,"D",0,"D",0,"D",2679,0,2750,2655,0,0,5719,5719,43000,43000,0,0,0,0,0,0,0,0,0,0,43000,43000,0,0,2750,2655,2750,2655,0,0,0,0,0,0,0,0,0,0,0
2613585,1,"2012","2011",0,0.133,0.133,"1",0.25,0.25,"14","D",0.05,0.05,0,"D",0,"D",52000,"D",0,"D",-2210,"D",0,"D",0,"D",0,"D",0,"D",1470,"D",939,"D",0,"D",0,"D",0,"D",6079,2314,6197.5,6040,2316,2313.5,6916,6916,49790,49790,49790.01,49790.01,0,0,0,0,0,0,0,0,49790,49790,0,0,6197.5,6040,6197.5,6040,0,0,0,0,73.5,73.5,0,0,0,0,0
2613605,1,"2012","2011",0,0,0,"1",0.248,0.248,"44","D",0,0,1,"D",0,"D",0,"D",0,"D",43206,"D",0,"D",17160,"D",0,"D",0,"D",2500,"D",698,"D",0,"D",0,"D",5372,"D",7222,0,7313.25,7192.17,0,0,0,0,57792,57792,0,0,0,0,0,0,0,0,0,0,52420,52420,0,0,7313.25,7192.17,7313.25,7192.17,0,0,0,0,0,0,0,0,0,0,0
2613655,1,"2012","2011",0,0.133,0.133,"2",0.1395,0.1395,"12","D",0.0707,0.0707,0,"D",0,"D",10000,"D",60000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3000,"D",0,"D",0,"D",0,"D",9484,"D",6176,3043,6213.85,6163.85,3042.54,3042.54,9310,9310,70000,70000,70000.01,70000.01,0,0,0,0,0,0,0,0,60516,60516,0,0,6213.85,6163.85,6213.85,6163.85,4000,4000,15507.64,15507.64,0,0,0,0,0,0,0
2613665,1,"2012","2011",0,0.133,0.133,"1",0.141,0.141,"11","D",0.06,0.06,0,"D",0,"D",33134,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",670,"D",70,"D",0,"D",0,"D",4316,"D",3013,1333,3031.8,3006.8,1332.68,1332.68,4406.82,4406.82,33134,33134,33134.01,33134.01,0,0,0,0,0,0,0,0,28818,28818,0,0,3031.8,3006.8,3031.8,3006.8,2300,2300,5056,5056,0,0,0,0,0,0,0
2613665,2,"2012","2011",0,0.133,0.133,"1",0.1765,0.1765,"11","D",0.06,0.06,0,"D",0,"D",12567,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",187,256,223.44,175.2,256.02,256.02,1671.41,1671.41,12567,12567,12567.01,12567.01,0,0,0,0,0,0,83.26,106.5,12567,12567,0,0,306.7,281.7,306.7,281.7,2300,2300,0,0,0,0,0,0,0,0,0
