QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYB,VEHICYB_,VEHICYR,VEHICYR_,VEHBSNZ,VEHBSNZ_,VEHNEWU,VEHNEWU_,VEHGFTC,VEHGFTC_,VEHPURMO,VEHP_RMO,VEHPURYR,VEHP_RYR,VFINSTAT,VFIN_TAT,TRADEX,TRADEX_,NETPURX,NETPURX_,DNPAYMTX,DNPA_MTX,PRINCIPX,PRIN_IPX,VEHQPMT,VEHQPMT_,PMT1MO,PMT1MO_,PMT1YR,PMT1YR_,PAYMENTX,PAYM_NTX,QINTRSTZ,QINT_STZ,QLOANM1Q,QLOA_M1Q,QBALNM1X,QBAL_M1X,QVINTM1X,QVIN_M1X,QVPRIM1X,QVPR_M1X,QLOANM2Q,QLOA_M2Q,QBALNM2X,QBAL_M2X,QVINTM2X,QVIN_M2X,QVPRIM2X,QVPR_M2X,QLOANM3Q,QLOA_M3Q,QBALNM3X,QBAL_M3X,QVINTM3X,QVIN_M3X,QVPRIM3X,QVPR_M3X,QTRADEX,QTRADEX_,QREIMBRZ,QREI_BRZ,QADITR1X,QADI_R1X,QADITR2X,QADI_R2X,QADITR3X,QADI_R3X,QDNPYMTX,QDNP_MTX,VEHEQTLN,VEHE_TLN,VEHICIB,VEHICIB_,MAKE,MAKE_,VFINANCE,FUELTYPE,FUEL_YPE,VPURINDV,VPUR_NDV,VINTRATE,VINT_ATE,OVBPURCH
20171,03387234,25,0,5,110,D,23,D,,A,2,D,1,D,02,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,SAT,D,2,1,D,1,D,,A,
20171,03387234,26,0,5,110,D,22,D,,A,2,D,1,D,02,D,2010,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,GMC,D,2,1,D,1,D,,A,
20171,03387274,9,0,5,110,D,23,D,,A,2,D,1,D,,C,2007,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,JEE,D,2,1,D,2,D,,A,
20171,03387304,25,0,5,100,D,33,D,,A,2,D,1,D,,C,2015,D,2,D,,A,16000,D,,C,15351,D,60,D,04,D,2015,D,285,D,.0430,D,19,D,11083,D,40,D,245,D,20,D,10837,D,39,D,246,D,21,D,10591,D,38,D,247,D,16000,D,,A,40,D,39,D,38,D,,C,2,D,01,D,NIS,D,1,1,D,2,D,.0250,D,
20171,03387314,22,0,5,110,D,30,D,,A,2,D,1,D,,C,2012,D,2,D,3000,D,27000,D,0,D,24928,D,72,D,08,D,2012,D,424,D,.0695,D,51,D,8766,D,51,D,373,D,52,D,8393,D,49,D,375,D,53,D,8017,D,46,D,378,D,27000,D,,A,51,D,49,D,46,D,0,D,2,D,01,D,FOR,D,1,1,D,2,D,,C,
20171,03387314,23,0,5,110,D,29,D,,A,2,D,1,D,,C,,C,2,D,,A,,C,,C,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,,B,0.75,D,,B,,B,,B,,C,,C,02,D,FOR,D,1,1,D,,C,,C,
20171,03387344,21,0,5,100,D,35,D,,A,1,D,1,D,09,D,2015,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,HON,D,2,1,D,2,D,,A,
20171,03387344,22,0,5,110,D,26,D,,A,2,D,1,D,03,D,2008,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,CHE,D,1,1,D,1,D,,A,
20171,03387354,25,0,5,110,D,08,D,,A,2,D,1,D,08,D,2012,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,DOD,D,2,1,D,1,D,,A,
20171,03387384,10,0,1,100,D,,C,,A,,C,,C,,C,,C,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,CHE,D,2,1,D,,C,,A,
