"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","UTILY","UTILY_","WHATPROP","WHAT_ROP","BLPERIOD","BLPE_IOD","QFUELADZ","QFUE_ADZ","UTLPTYPE","UTLP_YPE","UTIL1","UTIL1_","UTIL2","UTIL2_","UTIL3","UTIL3_","UTIL4","UTIL4_","UTIL5","UTIL5_","UTIL6","UTIL6_","UTIL7","UTIL7_","UTIL8","UTIL8_","UTIL9","UTIL9_","QADFUL1X","QADF_L1X","QADFUL2X","QADF_L2X","QADFUL3X","QADF_L3X"
"20151",2926943,28,0,"1","130","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",476,"F",459,"F",472,"F"
"20151",2926943,29,0,"1","205","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",84,"F",84,"F",106,"F"
"20151",2926963,13,0,"1","120","D","42","D",,"A",1,"D","6","D","110","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20151",2926963,13,3,"1","100","D","42","D",,"A",.,"A","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",79,"E",79,"E",80,"E"
"20151",2926963,13,4,"1","110","D","42","D",,"A",.,"A","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",11,"E",11,"E",10,"E"
"20151",2926963,14,0,"1","110","D","42","D",,"A",1,"D","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",40,"D",40,"D",40,"D"
"20151",2926973,44,0,"1","120","D","01","D",,"A",1,"D","1","D","110","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20151",2926973,44,3,"1","100","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",93,"E",121,"E",141,"E"
"20151",2926973,44,4,"1","110","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",97,"E",109,"E",129,"E"
"20151",2926973,45,0,"1","230","D","01","D",,"A",1,"D","1","D","210","D","205","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20151",2926973,45,5,"1","205","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",46,"E",49,"E",46,"E"
"20151",2926973,45,6,"1","210","D","01","D",,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",31,"E",28,"E",31,"E"
"20151",2926983,33,0,"1","120","D","40","D",,"A",1,"D","4","D","110","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20151",2926983,33,3,"1","100","D","40","D",,"A",.,"A","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",420,"E",420,"E",420,"E"
"20151",2926993,34,0,"1","205","D","01","D","3","D",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",0,"D",127,"D",0,"D"
"20151",2926993,35,0,"1","210","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",4,"D",4,"D",4,"D"
"20151",2926993,36,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",289,"D",289,"D",289,"D"
"20151",2927043,38,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",250,"D",250,"D",250,"D"
"20151",2927053,21,0,"1","900","D","42","D",,"A",1,"D","6","D","205","D","210","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20151",2927053,21,9,"1","100","D","42","D",,"A",.,"A","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",144,"E",194,"E",180,"E"
"20151",2927053,21,10,"1","205","D","42","D",,"A",.,"A","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",71,"E",108,"E",117,"E"
"20151",2927053,21,11,"1","210","D","42","D",,"A",.,"A","6","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",85,"E",48,"E",53,"E"
"20151",2927073,23,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",125,"D",125,"D",125,"D"
"20151",2927073,24,0,"1","205","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",70,"D",70,"D",75,"D"
"20151",2927083,24,0,"1","100","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",106,"D",289,"D",231,"D"
"20151",2927103,28,0,"1","100","D","43","D",,"A",1,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",51,"D",51,"D",51,"D"
"20151",2927103,29,0,"1","130","D","43","D","1","D",1,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",766,"D",465,"D",0,"D"
"20151",2927103,30,0,"1","205","D","43","D","2","D",1,"D","5","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",50,"D",0,"D",50,"D"
"20151",2927113,14,0,"1","100","D","40","D",,"A",1,"D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",120,"D",120,"D",120,"D"
"20151",2927113,15,0,"1","205","D","40","D",,"A",1,"D","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",100,"D",100,"D",100,"D"
"20151",2927123,28,0,"1","110","D","01","D",,"A",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",120,"D",130,"D",140,"D"
