"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20143",2795913,38,0,"1",.,"A",,"A","2","D","1","D","1","D",,"A",59,"F",45,"F",45,"F",60,"F",45,"F",45,"F",.,"A",.,"A",.,"A",11,"F",40,"F",40,"F",.,"A",.,"A",.,"A"
"20143",2795943,40,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",88,"D",88,"D",88,"D",.,"A",.,"A",.,"A"
"20143",2795983,21,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",76,"D",76,"D",76,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2795983,22,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A"
"20143",2796083,39,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A"
"20143",2796113,31,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",86,"D",89,"D",89,"D",.,"A",.,"A",.,"A"
"20143",2796123,17,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",30,"F",30,"F",30,"F",.,"A",.,"A",.,"A",23,"F",23,"F",23,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796123,18,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",30,"F",30,"F",48,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"F",35,"F",17,"F",.,"A",.,"A",.,"A"
"20143",2796173,30,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",145,"D",145,"D",145,"D",.,"A",.,"A",.,"A"
"20143",2796183,19,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",44,"D",44,"D",44,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796223,12,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",200,"F",200,"F",200,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796223,13,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",0,"D",0,"D",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",107,"F",107,"F",107,"F",.,"A",.,"A",.,"A"
"20143",2796233,23,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",25,"D",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796233,24,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",45,"D",45,"D",45,"D",.,"A",.,"A",.,"A"
"20143",2796243,60,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",30,"D",30,"D",30,"D",84,"D",84,"D",70,"D",54,"F",54,"F",76,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796243,61,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",154,"D",169,"D",148,"D",.,"A",.,"A",.,"A"
"20143",2796263,40,0,"1",.,"A","1","D","2","D","1","D","1","D",,"A",30,"D",30,"D",30,"D",90,"D",90,"D",90,"D",49,"G",50,"G",50,"G",81,"G",80,"G",80,"G",.,"A",.,"A",.,"A"
"20143",2796273,46,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",22,"F",22,"F",22,"F",.,"A",.,"A",.,"A",53,"F",53,"F",53,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
