NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03440124,01,2017,800940,2,,3,541.9167
03440124,01,2017,800940,2,,4,541.9167
03440124,01,2017,800940,2,,5,541.9167
03440124,02,2017,800940,2,,1,541.9167
03440124,02,2017,800940,2,,2,541.9167
03440124,02,2017,800940,2,,3,541.9167
03440124,02,2017,800940,2,,4,541.9167
03440124,02,2017,800940,2,,5,541.9167
03440124,03,2017,800940,2,,1,541.9167
03440124,03,2017,800940,2,,2,541.9167
03440124,03,2017,800940,2,,3,541.9167
03440124,03,2017,800940,2,,4,541.9167
03440124,03,2017,800940,2,,5,541.9167
03440124,01,2017,900000,2,,1,7083.3333
03440124,01,2017,900000,2,,2,7083.3333
03440124,01,2017,900000,2,,3,7083.3333
03440124,01,2017,900000,2,,4,7083.3333
03440124,01,2017,900000,2,,5,7083.3333
03440124,02,2017,900000,2,,1,7083.3333
03440124,02,2017,900000,2,,2,7083.3333
03440124,02,2017,900000,2,,3,7083.3333
03440124,02,2017,900000,2,,4,7083.3333
03440124,02,2017,900000,2,,5,7083.3333
03440124,03,2017,900000,2,,1,7083.3333
03440124,03,2017,900000,2,,2,7083.3333
03440124,03,2017,900000,2,,3,7083.3333
03440124,03,2017,900000,2,,4,7083.3333
03440124,03,2017,900000,2,,5,7083.3333
03440124,01,2017,980000,2,,1,7083.3333
03440124,01,2017,980000,2,,2,7083.3333
03440124,01,2017,980000,2,,3,7083.3333
03440124,01,2017,980000,2,,4,7083.3333
03440124,01,2017,980000,2,,5,7083.3333
03440124,02,2017,980000,2,,1,7083.3333
03440124,02,2017,980000,2,,2,7083.3333
03440124,02,2017,980000,2,,3,7083.3333
03440124,02,2017,980000,2,,4,7083.3333
03440124,02,2017,980000,2,,5,7083.3333
03440124,03,2017,980000,2,,1,7083.3333
03440124,03,2017,980000,2,,2,7083.3333
03440124,03,2017,980000,2,,3,7083.3333
03440124,03,2017,980000,2,,4,7083.3333
03440124,03,2017,980000,2,,5,7083.3333
03440134,01,2017,800940,2,,1,268.4167
03440134,01,2017,800940,2,,2,280.4167
03440134,01,2017,800940,2,,3,306.5
03440134,01,2017,800940,2,,4,304.5833
