QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_,AGE_SEXA,AGE__EXA,CLOGFTA,CLOGFTA_,CLOTHA1,CLOTHA1_,CLOTHA2,CLOTHA2_,CLOTHA3,CLOTHA3_,CLOTHA4,CLOTHA4_,CLOTHA5,CLOTHA5_,CLOTHA6,CLOTHA6_,CLOTHA7,CLOTHA7_,CLOTHA8,CLOTHA8_,CLOTHA9,CLAPURCH,CLOTHA9_,AGESEX1,AGESEX1_,AGESEX2,AGESEX2_,AGESEX3,AGESEX3_,AGESEX4,AGESEX4_,AGESEX5,AGESEX5_,AGESEX6,AGESEX6_
20171,03387134,5,0,1,150,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,5,100,1,150,D,12,D,28,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,5,200,1,150,D,12,D,51,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,5,300,1,150,D,12,D,21,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,6,0,1,280,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,6,200,1,280,D,12,D,37,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,6,300,1,280,D,12,D,63,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387154,1,0,1,100,D,12,D,40,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387154,2,0,1,145,D,11,D,140,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387154,3,0,1,145,D,12,D,40,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
