file_path,inferred_type,size_bytes,structure
Demand Elasticity/intrvw13/expn13/mis13.csv,csv,5348838,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MISCCODE|MISC_ODE|MISCMO|MISCMO_|MISCGFTC|...
Demand Elasticity/intrvw13/expn13/mor13.csv,csv,3897822,columns=73:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOF|PROP0NOF|OWNYF|OWNYF_|NEWMRRT|...
Demand Elasticity/intrvw13/expn13/opb13.csv,csv,4062788,columns=41:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOB|PROP0NOB|OWNYB|OWNYB_|OBSNSZB|...
Demand Elasticity/intrvw13/expn13/opd13.csv,csv,13610,columns=19:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOD|PROP0NOD|OWNYD|OWNYD_|DISPMTHD|...
Demand Elasticity/intrvw13/expn13/oph13.csv,csv,149936,columns=21:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOH|PROP0NOH|OWNYH|OWNYH_|PAIDLOAN|...
Demand Elasticity/intrvw13/expn13/opi13.csv,csv,16764038,columns=152:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOI|PROP0NOI|OWNYI|OWNYI_|QRENTDDZ|...
Demand Elasticity/intrvw13/expn13/ovb13.csv,csv,18111573,columns=88:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VEHICYB|VEHICYB_|VEHICYR|VEHICYR_|VEHBSNZ|...
Demand Elasticity/intrvw13/expn13/ovc13.csv,csv,195402,columns=23:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VEHICYC|VEHICYC_|VEHDISP|VEHDISP_|VDISPMO|...
Demand Elasticity/intrvw13/expn13/rnt13.csv,csv,2918790,columns=55:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|SAMP_UN|SAMP_UN_|RTELECT|RTELECT_|RTGAS|...
Demand Elasticity/intrvw13/expn13/rtv13.csv,csv,51278,columns=13:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|RENTCODE|RENT_ODE|BSNSPCTZ|BSNS_CTZ|QADRENTX|...
Demand Elasticity/intrvw13/expn13/sub13.csv,csv,3070566,columns=15:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|S17CODEA|S17C_DEA|S17GFTCA|S17G_TCA|QSUB3MCX|...
Demand Elasticity/intrvw13/expn13/trd13.csv,csv,273659,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMYUPD|NUMYUPD_|TOTYUPDX|TOTY_PDX|TOTYUPDY|...
Demand Elasticity/intrvw13/expn13/tre13.csv,csv,161951,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMNONCU|NUMN_NCU|TRNONCUX|TRNO_CUX|TRNONCUY|...
Demand Elasticity/intrvw13/expn13/trf13.csv,csv,33454,columns=27:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMLOC|NUMLOC_|LOCLODGX|LOCL_DGX|ALCMEALX|...
Demand Elasticity/intrvw13/expn13/trv13.csv,csv,3550355,columns=99:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|WHATPART|WHAT_ART|TRIPIDBC|TRIP_DBC|NUMSAME|...
Demand Elasticity/intrvw13/expn13/uta13.csv,csv,8181725,columns=61:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|TELBSNZ|TELBSNZ_|TELRESD|TELRESD_|TELCELL|...
Demand Elasticity/intrvw13/expn13/utc13.csv,csv,12684298,columns=39:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|UTILY|UTILY_|WHATPROP|WHAT_ROP|BLPERIOD|...
Demand Elasticity/intrvw13/expn13/uti13.csv,csv,3258203,columns=28:QYEAR|NEWID|SEQNO|ALCNO|INTSERV|INTSERV_|INTMO|INTMO_|INTCHGX|INTCHGX_|...
Demand Elasticity/intrvw13/expn13/utp13.csv,csv,1159021,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|QFCD3MCX|QFCD_MCX|QPYP3MCX|QPYP_MCX|QPRP3MCX|...
Demand Elasticity/intrvw13/expn13/veq13.csv,csv,4526186,columns=37:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPMOA|VOPMOA_|VOPEXPX|VOPEXPX_|VOPRMBXA|...
Demand Elasticity/intrvw13/expn13/vlr13.csv,csv,840231,columns=19:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPREGY|VOPREGY_|VOPMO_C|VOPMO_C_|VOPREGX|...
Demand Elasticity/intrvw13/expn13/vot13.csv,csv,3272917,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPFLUDX|VOPF_UDX|VOPPARKX|VOPP_RKX|VOPTOWX|...
Demand Elasticity/intrvw13/expn13/xpa13.csv,csv,4095633,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|JMKPURQV|JMKP_RQV|JNONFDQV|JNON_DQV|JOTHSTQV|...
Demand Elasticity/intrvw13/expn13/xpb13.csv,csv,4031467,columns=37:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|OTHLNDRX|OTHL_DRX|OTHDCLNX|OTHD_LNX|SAFDPSTX|...
Demand Elasticity/intrvw13/intrvw13/fmli131x.csv,csv,20236236,columns=893:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw13/intrvw13/fmli132.csv,csv,19796592,columns=868:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw13/intrvw13/fmli133.csv,csv,19029924,columns=868:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw13/intrvw13/fmli134.csv,csv,17785017,columns=868:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw13/intrvw13/fmli141.csv,csv,18955207,columns=868:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw13/intrvw13/itbi131x.csv,csv,15686020,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw13/intrvw13/itbi132.csv,csv,17822308,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw13/intrvw13/itbi133.csv,csv,17013760,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw13/intrvw13/itbi134.csv,csv,15804934,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw13/intrvw13/itbi141.csv,csv,16871656,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw13/intrvw13/itii131x.csv,csv,24182077,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw13/intrvw13/itii132.csv,csv,28090255,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw13/intrvw13/itii133.csv,csv,26727223,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
