"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20132",2562045,29,0,"1","105","D",.,"A",350,"D","1","D"
"20132",2562085,44,0,"1","105","D",.,"A",185,"D","2","D"
"20132",2562935,35,0,"1","105","D",.,"A",175,"D","1","D"
"20132",2564955,47,0,"1","105","D",.,"A",433,"D","1","D"
"20132",2566085,38,0,"1","105","D",.,"A",50,"D","2","D"
"20132",2566745,18,0,"1","105","D",.,"A",750,"D","1","D"
"20132",2567775,25,0,"1","105","D",.,"A",307,"D","2","D"
"20132",2567915,26,0,"1","105","D",.,"A",146,"D","2","D"
"20132",2568375,36,0,"1","105","D",.,"A",70,"D","2","D"
"20132",2568855,11,0,"1","105","D",.,"A",300,"D","1","D"
"20132",2569765,27,0,"1","105","D",.,"A",300,"D","1","D"
"20132",2571835,26,0,"1","105","D",.,"A",76,"D","2","D"
"20132",2572515,19,0,"1","105","D",.,"A",571,"D","1","D"
"20132",2573615,35,0,"1","105","D",.,"A",102,"D","1","D"
"20132",2574215,10,0,"1","105","D",.,"A",300,"D","1","D"
"20132",2575515,20,0,"1","105","D",.,"A",36,"D","2","D"
"20132",2576395,14,0,"1","105","D",.,"A",250,"D","1","D"
"20132",2577105,42,0,"1","105","D",.,"A",349,"D","1","D"
"20132",2577925,13,0,"1","105","D",.,"A",80,"D","1","D"
"20132",2578305,62,0,"1","105","D",.,"A",18,"D","2","D"
"20132",2578305,63,0,"1","200","D",.,"A",480,"D","2","D"
"20132",2578595,60,0,"1","105","D",.,"A",288,"D","1","D"
"20132",2578735,27,0,"1","105","D",.,"A",16,"D","2","D"
"20132",2578785,40,0,"1","105","D",.,"A",260,"D","1","D"
"20132",2582144,48,0,"1","105","D",.,"A",300,"D","2","D"
"20132",2582944,32,0,"1","105","D",.,"A",175,"D","1","D"
"20132",2582944,33,0,"1","105","D",1,"D",0,"D","1","D"
"20132",2583775,28,0,"1","105","D",.,"A",280,"D","1","D"
"20132",2587654,38,0,"1","180","D",.,"A",45,"D","2","D"
"20132",2588834,23,0,"1","105","D",.,"A",183,"D","2","D"
"20132",2589284,47,0,"1","105","D",0.5,"D",1000,"D","1","D"
"20132",2589944,10,0,"1","200","D",.,"A",64,"D","2","D"
