"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MISCCODE","MISC_ODE","MISCMO","MISCMO_","MISCGFTC","MISC_FTC","MISCEXPX","MISC_XPX","MISCDE1","MISCDE1_","MISCDE2","MISCDE2_","MISCDE3","MISCDE3_","MISCDE4","MISCDE4_","MISCDE5","MISCDE5_","MISCDE6","MISCDE6_","MISCDE7","MISCDE7_","MISCDE8","MISCDE8_","MISCDE9","MISCDE9_"
"20131",2512165,40,0,"1","150","D","12","D","1","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512165,41,0,"1","380","D","12","D","1","D",370,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512165,42,0,"1","330","D","12","D","1","D",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512165,43,0,"1","240","D","12","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512195,32,0,"1","240","D","13","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512195,33,0,"2","250","D","10","D","1","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512195,34,0,"2","260","D","10","D","1","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512205,54,0,"1","330","D","12","D","1","D",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512295,31,0,"1","240","D","13","D","1","D",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512305,46,0,"1","240","D","13","D","1","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512305,47,0,"1","250","D","13","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512305,48,0,"1","260","D","12","D","1","D",340,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512335,33,0,"1","180","D","13","D","1","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512335,34,0,"1","390","D","13","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512375,56,0,"1","180","D","12","D","1","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512375,57,0,"1","100","D","10","D","1","D",1000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512375,58,0,"2","180","D","10","D","1","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512465,24,0,"1","190","D","13","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512465,25,0,"1","330","D","12","D","1","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512465,26,0,"2","220","D","10","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512475,21,0,"1","240","D","13","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512485,31,0,"1","330","D","12","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512485,32,0,"1","240","D","12","D","1","D",6,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512505,32,0,"1","180","D","13","D","1","D",375,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
