"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20132",2551355,32,0,"1",4550,"D",780,"D",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",3770,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551375,21,0,"1",2600,"D",0,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551395,28,0,"1",390,"D",0,"D",.,"A",195,"D",104,"F",.,"A",.,"A",.,"A",390,"D",,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551415,15,0,"1",1040,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",780,"D",,"A",24,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551425,63,0,"1",3900,"D",650,"D",.,"A",910,"D",.,"A",.,"A",.,"A",.,"A",3250,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551435,39,0,"1",2600,"D",520,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",2080,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551445,30,0,"1",1950,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1625,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551465,18,0,"1",1625,"D",780,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",845,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551495,28,0,"1",650,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",520,"D",,"A",120,"D",20,"D",260,"D",104,"D",8,"D"
"20132",2551525,20,0,"1",2600,"D",260,"D",260,"D",260,"D",.,"A",.,"A",.,"A",.,"A",2340,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
