"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2547514,54,0,"1","120","D","1","D","11","D",900,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2547594,44,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2547604,37,0,"1","100","D","1","D","11","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2547994,52,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2547994,53,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2548104,32,0,"1","100","D","1","D","12","D",2000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2548344,48,0,"1","180","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2548494,20,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2549264,44,0,"1","100","D","4","D","10","D",.,"A",2700,"D",.,"A","2","D",.,"A","02","D"
"20131",2549344,61,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2549574,57,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2549794,43,0,"1","200","D","1","D","12","D",1700,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2549794,44,0,"1","100","D","1","D","11","D",100,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2549984,36,0,"2","100","D","1","D","10","D",3000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2549994,65,0,"1","100","D","1","D","12","D",2500,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2550124,35,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20131",2550364,49,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2550564,45,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20131",2550634,46,0,"1","110","D","1","D","11","D",600,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2550874,51,0,"1","100","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
