"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","NTRTPUR","NTRTPUR_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","QADNTR1X","QADN_R1X","QADNTR2X","QADN_R2X","QADNTR3X","QADN_R3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","TELVOP1X","TELV_P1X","TELVOP2X","TELV_P2X","TELVOP3X","TELV_P3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20133",2674183,29,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",89,"D",89,"D",89,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674243,14,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",190,"D",190,"D",190,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674293,41,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",,"A",45,"F",45,"F",29,"F",65,"F",65,"F",79,"F",.,"A",.,"A",.,"A",30,"F",30,"F",32,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674343,21,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",,"A",70,"F",70,"F",70,"F",70,"F",70,"F",70,"F",.,"A",.,"A",.,"A",30,"F",30,"F",30,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674363,27,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",100,"D",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674423,12,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674473,24,0,"1",.,"A","1","D",,"A","1","F","2","F",,"A",,"A",.,"A",40,"F",38,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",27,"F",149,"F",49,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674483,28,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",35,"D",35,"D",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674483,29,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",,"A",48,"D",48,"D",48,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",28,"F",28,"F",28,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20133",2674563,27,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
