"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","UTILY","UTILY_","WHATPROP","WHAT_ROP","BLPERIOD","BLPE_IOD","QFUELADZ","QFUE_ADZ","UTLPTYPE","UTLP_YPE","UTIL1","UTIL1_","UTIL2","UTIL2_","UTIL3","UTIL3_","UTIL4","UTIL4_","UTIL5","UTIL5_","UTIL6","UTIL6_","UTIL7","UTIL7_","UTIL8","UTIL8_","UTIL9","UTIL9_","QADFUL1X","QADF_L1X","QADFUL2X","QADF_L2X","QADFUL3X","QADF_L3X"
"20134",2680094,98,0,"1","210","D","01","D","3","D",1,"D","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",59,"D",0,"D",0,"D"
"20134",2680094,99,0,"1","120","D","02","D",,"A",1,"D","2","D","110","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20134",2680094,99,3,"1","100","D","02","D",,"A",.,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",150,"E",150,"E",150,"E"
"20134",2680094,100,0,"1","205","D","02","D","2","D",1,"D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",78,"D",0,"D",80,"D"
"20134",2680094,101,0,"1","210","D","02","D","3","D",1,"D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",80,"D",0,"D",0,"D"
"20134",2680154,33,0,"1","120","D","40","D",,"A",1,"D","4","D","110","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",.,"H",.,"H"
"20134",2680154,33,3,"1","100","D","40","D",,"A",.,"A","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",193,"E",193,"E",194,"E"
"20134",2680154,33,4,"1","110","D","40","D",,"A",.,"A","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",47,"E",47,"E",46,"E"
"20134",2680154,34,0,"1","230","D","40","D","2","D",1,"D","4","D","210","D","205","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"H",0,"D",.,"H"
"20134",2680154,34,5,"1","205","D","40","D",,"A",.,"A","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",136,"E",.,"A",139,"E"
"20134",2680154,34,6,"1","210","D","40","D",,"A",.,"A","4","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",84,"E",.,"A",81,"E"
