"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20131",2554254,77,0,"1",.,"A",.,"A",180,"D"
"20131",2554764,26,0,"1",20,"D",.,"A",.,"A"
"20131",2554964,52,0,"1",40,"D",.,"A",.,"A"
"20131",2555164,30,0,"1",10,"D",.,"A",.,"A"
"20131",2555864,36,0,"1",.,"A",.,"A",100,"D"
"20131",2555884,36,0,"1",50,"D",.,"A",.,"A"
"20131",2556134,56,0,"1",.,"A",.,"A",90,"D"
"20131",2556804,44,0,"1",.,"A",.,"A",48,"D"
"20131",2557164,83,0,"1",.,"A",.,"A",30,"D"
"20131",2557354,46,0,"1",10,"D",.,"A",.,"A"
"20131",2557544,55,0,"1",.,"A",0,"D",.,"A"
"20131",2557904,92,0,"1",.,"A",.,"A",15,"D"
"20131",2558064,30,0,"1",.,"A",.,"A",150,"D"
"20131",2558164,26,0,"1",.,"A",.,"A",120,"D"
"20131",2558474,17,0,"1",60,"D",.,"A",.,"A"
"20131",2558704,34,0,"1",.,"A",.,"A",150,"D"
"20131",2558844,38,0,"1",36,"D",.,"A",.,"A"
"20131",2558874,54,0,"1",45,"D",.,"A",.,"A"
"20131",2559094,39,0,"1",0,"D",.,"A",.,"A"
"20131",2559424,100,0,"1",.,"A",.,"A",65,"D"
"20131",2559474,56,0,"1",.,"A",.,"A",150,"D"
"20131",2560184,65,0,"1",.,"A",.,"A",20,"D"
"20131",2560704,24,0,"1",50,"D",.,"A",.,"A"
"20131",2561244,29,0,"1",.,"A",.,"A",80,"D"
"20131",2561884,63,0,"1",.,"A",.,"A",75,"D"
"20131",2562354,42,0,"1",.,"A",.,"A",90,"D"
"20131",2562574,46,0,"1",.,"A",.,"A",75,"D"
"20131",2562614,55,0,"1",15,"D",.,"A",.,"A"
"20131",2562834,71,0,"1",.,"A",.,"A",0,"D"
"20131",2563094,77,0,"1",140,"D",.,"A",.,"A"
"20131",2563424,45,0,"1",.,"A",.,"A",0,"D"
"20131",2563694,77,0,"1",.,"A",.,"A",54,"D"
"20131",2564014,36,0,"1",25,"D",.,"A",.,"A"
"20131",2564034,50,0,"1",.,"A",.,"A",0,"D"
"20131",2564134,25,0,"1",105,"D",.,"A",.,"A"
"20131",2564334,30,0,"1",10,"D",.,"A",.,"A"
"20131",2564624,39,0,"1",20,"D",.,"A",.,"A"
"20131",2565104,43,0,"1",.,"A",.,"A",30,"D"
"20131",2565334,36,0,"1",.,"A",.,"A",0,"D"
"20131",2565434,41,0,"1",90,"D",.,"A",.,"A"
"20131",2565474,40,0,"1",.,"A",.,"A",99,"D"
"20131",2565524,24,0,"1",10,"D",.,"A",.,"A"
"20131",2565544,29,0,"1",20,"D",.,"A",.,"A"
"20131",2565804,25,0,"1",.,"A",.,"A",90,"D"
"20131",2565834,45,0,"1",20,"D",.,"A",.,"A"
