"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20131",2513965,30,0,"5","01","D","100","D",.,"A","3","D",,"C","2002","D",.,"A",.,"A",.,"A",650,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2513975,31,0,"5","01","D","100","D",.,"A","3","D","08","D","2009","D",.,"A",.,"A",.,"A",1180,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513975,32,0,"5","02","D","400","D",.,"A","3","D","02","D","2012","D",1000,"D",0,"D",0,"D",150,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D",,"A"
"20131",2513985,25,0,"5","01","D","100","D",.,"A","3","D","11","D","2007","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514195,44,0,"5","01","D","100","D",.,"A","3","D","10","D","1999","D",.,"A",.,"A",.,"A",2500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514215,37,0,"5","01","D","100","D",.,"A","3","D","12","D","1976","D",.,"A",.,"A",.,"A",1700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514235,36,0,"5","01","D","100","D",.,"A","3","D","12","D","2006","D",.,"A",.,"A",.,"A",1400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514245,26,0,"5","01","D","100","D",.,"A","3","D","06","D","1997","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514285,30,0,"5","01","D","100","D",.,"A","3","D",,"C","2003","D",.,"A",.,"A",.,"A",5100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514285,32,0,"5","03","D","500","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2514305,19,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514385,49,0,"5","01","D","100","D",.,"A","3","D","06","D","1985","D",.,"A",.,"A",.,"A",4800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514395,22,0,"5","01","D","100","D",.,"A","3","D",,"C","1960","D",.,"A",.,"A",.,"A",2417,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514515,69,0,"5","01","D","100","D",.,"A","3","D","09","D","2008","D",.,"A",.,"A",.,"A",4200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514515,70,0,"5","02","D","300","D",.,"A","3","D",,"C","2010","D",.,"A",.,"A",.,"A",1200,"F","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2514515,71,0,"5","03","D","300","D",.,"A","3","D","05","D","2008","D",.,"A",.,"A",.,"A",0,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20131",2514535,50,0,"5","01","D","100","D",.,"A","3","D","07","D","2012","D",470000,"D",168000,"D",5900,"D",4400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20131",2514585,36,0,"5","01","D","100","D",.,"A","3","D",,"C","1979","D",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2514585,37,0,"5","02","D","400","D",.,"A","3","D",,"C","1989","D",.,"A",.,"A",.,"A",50,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
