"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2516595,52,0,"1","150","D","1","D",59,"D",.,"A",,"A"
"20131",2516655,53,0,"1","150","D","1","D",148,"D",.,"A",,"A"
"20131",2516685,58,0,"1","840","D","1","D",55,"D",.,"A",,"A"
"20131",2516695,45,0,"1","150","D","1","D",84,"D",.,"A",,"A"
"20131",2516695,46,0,"1","150","D","1","D",40,"D",.,"A",,"A"
"20131",2516695,47,0,"1","810","D","1","D",339,"D",.,"A",,"A"
"20131",2516765,55,0,"1","150","D","2","D",36,"D",.,"A",,"A"
"20131",2516765,56,0,"1","830","D","1","D",28,"D",.,"A",,"A"
"20131",2516805,49,0,"1","830","D","1","D",74,"D",.,"A",,"A"
"20131",2516815,66,0,"1","150","D","1","D",42,"D",.,"A",,"A"
"20131",2516815,67,0,"1","150","D","1","D",39,"D",.,"A",,"A"
"20131",2516905,71,0,"1","150","D","2","D",60,"D",.,"A",,"A"
"20131",2516905,72,0,"1","150","D","1","D",67,"D",.,"A",,"A"
"20131",2517065,27,0,"1","150","D","1","D",40,"D",.,"A",,"A"
"20131",2517075,94,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2517075,95,0,"1","830","D","1","D",423,"D",.,"A",,"A"
"20131",2517155,57,0,"1","150","D","1","D",60,"D",.,"A",,"A"
"20131",2517155,58,0,"1","830","D","1","D",1200,"D",.,"A",,"A"
"20131",2517245,42,0,"1","150","D","1","D",48,"D",.,"A",,"A"
"20131",2517295,79,0,"1","150","D","1","D",186,"D",.,"A",,"A"
"20131",2517295,80,0,"1","830","D","2","D",120,"D",.,"A",,"A"
"20131",2517305,50,0,"1","830","D","1","D",130,"D",.,"A",,"A"
"20131",2517325,63,0,"1","150","D","1","D",51,"D",.,"A",,"A"
"20131",2517325,64,0,"1","500","D","1","D",95,"D",.,"A",,"A"
"20131",2517355,73,0,"1","150","D","1","D",16,"D",.,"A",,"A"
"20131",2517355,74,0,"1","910","D","1","D",54,"D",.,"A",,"A"
"20131",2517385,61,0,"1","830","D","1","D",160,"D",.,"A",,"A"
"20131",2517485,45,0,"1","150","D","1","D",120,"D",.,"A",,"A"
"20131",2517525,55,0,"1","150","D","1","D",19,"D",.,"A",,"A"
"20131",2517525,56,0,"1","830","D","1","D",0,"D",.,"A",,"A"
"20131",2517585,76,0,"1","150","D","1","D",45,"D",.,"A",,"A"
"20131",2517585,77,0,"1","150","D","1","D",16,"D",.,"A",,"A"
"20131",2517585,78,0,"1","840","D","1","D",0,"D",.,"A",,"A"
"20131",2517635,61,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2517805,55,0,"1","150","D","1","D",22,"D",.,"A",,"A"
"20131",2517865,64,0,"1","150","D","2","D",21,"D",.,"A",,"A"
"20131",2517865,65,0,"1","500","D","1","D",120,"D",.,"A",,"A"
"20131",2517865,66,0,"1","500","D","1","D",40,"D",.,"A",,"A"
"20131",2517865,67,0,"1","830","D","1","D",48,"D",.,"A",,"A"
"20131",2517915,65,0,"1","830","D","1","D",0,"D",.,"A",,"A"
"20131",2517915,66,0,"1","840","D","1","D",110,"D",.,"A",,"A"
"20131",2517925,44,0,"1","810","D","1","D",24,"D",.,"A",,"A"
"20131",2517925,45,0,"1","810","D","1","D",20,"D",.,"A",,"A"
"20131",2518115,54,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2518135,64,0,"1","150","D","1","D",113,"D",.,"A",,"A"
"20131",2518135,65,0,"1","150","D","1","D",48,"D",.,"A",,"A"
"20131",2518225,43,0,"1","150","D","1","D",32,"D",.,"A",,"A"
"20131",2518265,76,0,"1","150","D","1","D",115,"D",.,"A",,"A"
"20131",2518265,77,0,"1","150","D","1","D",117,"D",.,"A",,"A"
"20131",2518315,73,0,"1","200","D","1","D",26,"D",.,"A",,"A"
