"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20163","03297644",82,0,"1","105","D",.,"A",50,"D","1","D"
"20163","03299004",21,0,"1","105","D",.,"A",1080,"D","2","D"
"20163","03300074",51,0,"1","105","D",.,"A",85,"D","1","D"
"20163","03300374",15,0,"1","105","D",.,"A",275,"D","1","D"
"20163","03300624",32,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03301964",35,0,"1","105","D",.,"A",767,"D","1","D"
"20163","03302434",31,0,"1","160","D",.,"A",300,"D","2","D"
"20163","03302914",53,0,"1","160","D",.,"A",394,"D","1","D"
"20163","03303044",32,0,"1","105","D",.,"A",100,"D","1","D"
"20163","03325573",23,0,"1","105","D",.,"A",185,"D","1","D"
"20163","03326773",63,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03327173",59,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03327213",29,0,"1","105","D",1,"D",0,"D","1","D"
"20163","03327563",51,0,"1","105","D",.,"A",115,"D","1","D"
"20163","03327903",55,0,"1","105","D",.,"A",225,"D","1","D"
"20163","03328103",32,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03329313",18,0,"1","105","D",.,"A",140,"D","1","D"
"20163","03329723",39,0,"1","105","D",.,"A",75,"D","1","D"
"20163","03329873",34,0,"1","105","D",.,"A",650,"D","1","D"
"20163","03331503",23,0,"1","105","D",.,"A",300,"D","2","D"
"20163","03332423",61,0,"1","105","D",.,"A",100,"D","2","D"
"20163","03333273",27,0,"1","105","D",.,"A",218,"D","2","D"
"20163","03333663",25,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03334533",54,0,"1","105","D",.,"A",1200,"D","1","D"
"20163","03334833",20,0,"1","105","D",.,"A",600,"D","2","D"
"20163","03336513",31,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03336793",20,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03337073",33,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03337083",12,0,"1","105","D",.,"A",188,"D","1","D"
"20163","03338863",41,0,"1","105","D",.,"A",600,"D","1","D"
"20163","03340303",9,0,"1","105","D",.,"A",336,"F","2","D"
"20163","03340373",26,0,"1","105","D",.,"A",439,"D","1","D"
"20163","03340543",11,0,"1","105","D",.,"A",100,"D","1","D"
"20163","03341843",51,0,"1","170","D",.,"A",100,"D","1","D"
"20163","03342323",34,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03342413",11,0,"1","170","D",.,"A",10,"D","2","D"
"20163","03342713",13,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03344573",45,0,"1","180","D",.,"A",16,"D","2","D"
"20163","03344863",28,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03345833",38,0,"1","105","D",.,"A",533,"D","1","D"
"20163","03346003",27,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03347033",37,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03347673",44,0,"1","105","D",.,"A",122,"D","1","D"
"20163","03348543",33,0,"1","105","D",.,"A",400,"D","1","D"
"20163","03349033",43,0,"1","150","D",.,"A",100,"D","1","D"
"20163","03349033",44,0,"1","160","D",.,"A",400,"D","1","D"
"20163","03349213",37,0,"1","105","D",.,"A",265,"D","1","D"
"20163","03349863",10,0,"1","105","D",.,"A",1000,"D","1","D"
"20163","03349863",11,0,"1","105","D",.,"A",1000,"D","2","D"
"20163","03349863",12,0,"1","105","D",.,"A",1000,"D","1","D"
"20163","03351383",33,0,"1","105","D",.,"A",1500,"D","1","D"
"20163","03351853",20,0,"1","105","D",.,"A",275,"D","1","D"
"20163","03352023",76,0,"1","105","D",.,"A",750,"D","1","D"
"20163","03352383",31,0,"1","200","D",.,"A",200,"D","2","D"
"20163","03352523",62,0,"1","105","D",.,"A",1300,"D","2","D"
"20163","03353913",27,0,"1","180","D",.,"A",65,"D","2","D"
"20163","03354633",58,0,"1","170","D",.,"A",56,"D","2","D"
"20163","03355313",36,0,"1","200","D",.,"A",700,"D","2","D"
"20163","03355453",20,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03386792",29,0,"1","105","D",.,"A",200,"D","1","D"
"20163","03387152",27,0,"1","105","D",.,"A",550,"D","1","D"
"20163","03388402",15,0,"1","105","D",.,"A",125,"D","1","D"
"20163","03389262",40,0,"1","105","D",.,"A",620,"D","1","D"
"20163","03389622",54,0,"1","180","D",.,"A",153,"D","2","D"
"20163","03390072",17,0,"1","105","D",.,"A",640,"D","2","D"
"20163","03391062",38,0,"1","105","D",.,"A",120,"D","1","D"
"20163","03391252",37,0,"1","105","D",0.9,"D",29,"D","1","D"
"20163","03392212",30,0,"1","105","D",.,"A",680,"D","2","D"
"20163","03392622",17,0,"1","105","D",.,"A",1800,"D","1","D"
"20163","03393012",53,0,"1","105","D",.,"A",140,"D","1","D"
"20163","03393672",52,0,"1","105","D",.,"A",150,"D","1","D"
"20163","03393792",20,0,"1","105","D",.,"A",175,"D","1","D"
"20163","03393792",21,0,"1","105","D",.,"A",125,"D","1","D"
"20163","03393892",35,0,"1","160","D",.,"A",350,"D","1","D"
"20163","03394142",12,0,"1","105","D",.,"A",70,"D","1","D"
"20163","03394472",58,0,"1","105","D",.,"A",300,"D","2","D"
"20163","03396052",20,0,"1","105","D",.,"A",80,"D","1","D"
"20163","03396162",31,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03397012",59,0,"1","105","D",.,"A",600,"D","2","D"
"20163","03397032",19,0,"1","105","D",.,"A",250,"D","2","D"
"20163","03407882",25,0,"1","160","D",.,"A",130,"D","1","D"
"20163","03408242",41,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03409262",43,0,"1","105","D",.,"A",309,"D","1","D"
"20163","03409292",13,0,"1","105","D",.,"A",700,"D","1","D"
"20163","03409952",16,0,"1","105","D",.,"A",300,"D","1","D"
"20163","03410052",77,0,"1","170","D",.,"A",180,"D","1","D"
"20163","03410832",23,0,"1","105","D",.,"A",455,"D","1","D"
"20163","03410832",24,0,"1","105","D",.,"A",125,"D","1","D"
"20163","03411522",43,0,"1","105","D",.,"A",500,"D","1","D"
"20163","03411522",44,0,"1","150","D",.,"A",2000,"D","1","D"
"20163","03412482",22,0,"1","105","D",.,"A",88,"D","2","D"
"20163","03412982",33,0,"1","105","D",.,"A",150,"D","2","D"
"20163","03413352",28,0,"1","105","D",.,"A",30,"D","2","D"
"20163","03414132",36,0,"1","105","D",.,"A",180,"D","1","D"
"20163","03414704",25,0,"1","180","D",.,"A",279,"D","1","D"
"20163","03414732",5,0,"1","105","D",.,"A",100,"D","2","D"
"20163","03414932",42,0,"1","160","D",.,"A",84,"D","1","D"
"20163","03415182",10,0,"1","105","D",.,"A",119,"D","2","D"
"20163","03415662",20,0,"1","105","D",.,"A",379,"D","1","D"
"20163","03416002",64,0,"1","105","D",.,"A",1200,"D","1","D"
"20163","03416322",32,0,"1","105","D",.,"A",250,"D","1","D"
"20163","03416592",38,0,"1","105","D",.,"A",350,"D","1","D"
"20163","03416622",43,0,"1","105","D",.,"A",329,"D","1","D"
"20163","03416792",22,0,"1","105","D",.,"A",169,"D","1","D"
"20163","03417362",59,0,"1","105","D",.,"A",260,"D","1","D"
"20163","03417362",60,0,"1","105","D",.,"A",350,"D","1","D"
"20163","03419942",17,0,"1","105","D",.,"A",400,"D","2","D"
"20163","03420032",24,0,"1","105","D",.,"A",50,"D","1","D"
"20163","03422042",39,0,"1","105","D",.,"A",815,"D","1","D"
