NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03566544,07,2017,900000,2,,1,12700
03566544,07,2017,900000,2,,2,12700
03566544,07,2017,900000,2,,3,12700
03566544,07,2017,900000,2,,4,12700
03566544,07,2017,900000,2,,5,12700
03566544,08,2017,900000,2,,1,12700
03566544,08,2017,900000,2,,2,12700
03566544,08,2017,900000,2,,3,12700
03566544,08,2017,900000,2,,4,12700
03566544,08,2017,900000,2,,5,12700
03566544,09,2017,900000,2,,1,12700
03566544,09,2017,900000,2,,2,12700
03566544,09,2017,900000,2,,3,12700
03566544,09,2017,900000,2,,4,12700
03566544,09,2017,900000,2,,5,12700
03566544,07,2017,900190,2,,1,200
03566544,07,2017,900190,2,,2,200
03566544,07,2017,900190,2,,3,200
03566544,07,2017,900190,2,,4,200
03566544,07,2017,900190,2,,5,200
03566544,08,2017,900190,2,,1,200
03566544,08,2017,900190,2,,2,200
03566544,08,2017,900190,2,,3,200
03566544,08,2017,900190,2,,4,200
03566544,08,2017,900190,2,,5,200
03566544,09,2017,900190,2,,1,200
03566544,09,2017,900190,2,,2,200
03566544,09,2017,900190,2,,3,200
03566544,09,2017,900190,2,,4,200
03566544,09,2017,900190,2,,5,200
03566544,07,2017,980000,2,,1,12900
03566544,07,2017,980000,2,,2,12900
03566544,07,2017,980000,2,,3,12900
03566544,07,2017,980000,2,,4,12900
03566544,07,2017,980000,2,,5,12900
03566544,08,2017,980000,2,,1,12900
03566544,08,2017,980000,2,,2,12900
03566544,08,2017,980000,2,,3,12900
03566544,08,2017,980000,2,,4,12900
03566544,08,2017,980000,2,,5,12900
03566544,09,2017,980000,2,,1,12900
03566544,09,2017,980000,2,,2,12900
03566544,09,2017,980000,2,,3,12900
03566544,09,2017,980000,2,,4,12900
03566544,09,2017,980000,2,,5,12900
03566624,07,2017,800940,2,,1,340.6667
03566624,07,2017,800940,2,,2,367.0833
03566624,07,2017,800940,2,,3,342.3333
03566624,07,2017,800940,2,,4,314.5833
03566624,07,2017,800940,2,,5,340
03566624,08,2017,800940,2,,1,340.6667
03566624,08,2017,800940,2,,2,367.0833
03566624,08,2017,800940,2,,3,342.3333
03566624,08,2017,800940,2,,4,314.5833
03566624,08,2017,800940,2,,5,340
03566624,09,2017,800940,2,,1,340.6667
03566624,09,2017,800940,2,,2,367.0833
03566624,09,2017,800940,2,,3,342.3333
03566624,09,2017,800940,2,,4,314.5833
03566624,09,2017,800940,2,,5,340
03566624,07,2017,900000,2,,1,4452.75
03566624,07,2017,900000,2,,2,4798.6667
03566624,07,2017,900000,2,,3,4475.25
03566624,07,2017,900000,2,,4,4111.9167
03566624,07,2017,900000,2,,5,4444.9167
03566624,08,2017,900000,2,,1,4452.75
03566624,08,2017,900000,2,,2,4798.6667
03566624,08,2017,900000,2,,3,4475.25
03566624,08,2017,900000,2,,4,4111.9167
03566624,08,2017,900000,2,,5,4444.9167
03566624,09,2017,900000,2,,1,4452.75
03566624,09,2017,900000,2,,2,4798.6667
03566624,09,2017,900000,2,,3,4475.25
03566624,09,2017,900000,2,,4,4111.9167
03566624,09,2017,900000,2,,5,4444.9167
03566624,07,2017,900150,2,,1,170
03566624,07,2017,900150,2,,2,170
03566624,07,2017,900150,2,,3,170
03566624,07,2017,900150,2,,4,170
03566624,07,2017,900150,2,,5,170
03566624,08,2017,900150,2,,1,170
03566624,08,2017,900150,2,,2,170
03566624,08,2017,900150,2,,3,170
03566624,08,2017,900150,2,,4,170
03566624,08,2017,900150,2,,5,170
03566624,09,2017,900150,2,,1,170
03566624,09,2017,900150,2,,2,170
03566624,09,2017,900150,2,,3,170
03566624,09,2017,900150,2,,4,170
03566624,09,2017,900150,2,,5,170
03566624,07,2017,980000,2,,1,4622.75
03566624,07,2017,980000,2,,2,4968.6667
03566624,07,2017,980000,2,,3,4645.25
03566624,07,2017,980000,2,,4,4281.9167
03566624,07,2017,980000,2,,5,4614.9167
03566624,08,2017,980000,2,,1,4622.75
03566624,08,2017,980000,2,,2,4968.6667
03566624,08,2017,980000,2,,3,4645.25
03566624,08,2017,980000,2,,4,4281.9167
03566624,08,2017,980000,2,,5,4614.9167
03566624,09,2017,980000,2,,1,4622.75
03566624,09,2017,980000,2,,2,4968.6667
03566624,09,2017,980000,2,,3,4645.25
03566624,09,2017,980000,2,,4,4281.9167
03566624,09,2017,980000,2,,5,4614.9167
03566634,07,2017,800940,2,,1,893.5833
03566634,07,2017,800940,2,,2,884
03566634,07,2017,800940,2,,3,893.25
03566634,07,2017,800940,2,,4,913.8333
03566634,07,2017,800940,2,,5,864.1667
03566634,08,2017,800940,2,,1,893.5833
03566634,08,2017,800940,2,,2,884
03566634,08,2017,800940,2,,3,893.25
03566634,08,2017,800940,2,,4,913.8333
03566634,08,2017,800940,2,,5,864.1667
03566634,09,2017,800940,2,,1,893.5833
03566634,09,2017,800940,2,,2,884
03566634,09,2017,800940,2,,3,893.25
03566634,09,2017,800940,2,,4,913.8333
03566634,09,2017,800940,2,,5,864.1667
03566634,07,2017,900000,2,,1,11680.1667
03566634,07,2017,900000,2,,2,11554.8333
03566634,07,2017,900000,2,,3,11675.9167
03566634,07,2017,900000,2,,4,11944.9167
03566634,07,2017,900000,2,,5,11295.6667
03566634,08,2017,900000,2,,1,11680.1667
03566634,08,2017,900000,2,,2,11554.8333
03566634,08,2017,900000,2,,3,11675.9167
03566634,08,2017,900000,2,,4,11944.9167
03566634,08,2017,900000,2,,5,11295.6667
03566634,09,2017,900000,2,,1,11680.1667
03566634,09,2017,900000,2,,2,11554.8333
03566634,09,2017,900000,2,,3,11675.9167
03566634,09,2017,900000,2,,4,11944.9167
03566634,09,2017,900000,2,,5,11295.6667
03566634,07,2017,980000,2,,1,11680.1667
03566634,07,2017,980000,2,,2,11554.8333
03566634,07,2017,980000,2,,3,11675.9167
03566634,07,2017,980000,2,,4,11944.9167
03566634,07,2017,980000,2,,5,11295.6667
03566634,08,2017,980000,2,,1,11680.1667
03566634,08,2017,980000,2,,2,11554.8333
03566634,08,2017,980000,2,,3,11675.9167
03566634,08,2017,980000,2,,4,11944.9167
03566634,08,2017,980000,2,,5,11295.6667
03566634,09,2017,980000,2,,1,11680.1667
03566634,09,2017,980000,2,,2,11554.8333
03566634,09,2017,980000,2,,3,11675.9167
03566634,09,2017,980000,2,,4,11944.9167
03566634,09,2017,980000,2,,5,11295.6667
03566644,07,2017,800940,2,,1,184.9167
03566644,07,2017,800940,2,,2,184.9167
03566644,07,2017,800940,2,,3,184.9167
03566644,07,2017,800940,2,,4,184.9167
03566644,07,2017,800940,2,,5,184.9167
03566644,08,2017,800940,2,,1,184.9167
03566644,08,2017,800940,2,,2,184.9167
03566644,08,2017,800940,2,,3,184.9167
03566644,08,2017,800940,2,,4,184.9167
03566644,08,2017,800940,2,,5,184.9167
03566644,09,2017,800940,2,,1,184.9167
03566644,09,2017,800940,2,,2,184.9167
03566644,09,2017,800940,2,,3,184.9167
03566644,09,2017,800940,2,,4,184.9167
03566644,09,2017,800940,2,,5,184.9167
03566644,07,2017,900000,2,,1,2416.6667
03566644,07,2017,900000,2,,2,2416.6667
03566644,07,2017,900000,2,,3,2416.6667
03566644,07,2017,900000,2,,4,2416.6667
03566644,07,2017,900000,2,,5,2416.6667
03566644,08,2017,900000,2,,1,2416.6667
03566644,08,2017,900000,2,,2,2416.6667
03566644,08,2017,900000,2,,3,2416.6667
03566644,08,2017,900000,2,,4,2416.6667
03566644,08,2017,900000,2,,5,2416.6667
03566644,09,2017,900000,2,,1,2416.6667
03566644,09,2017,900000,2,,2,2416.6667
03566644,09,2017,900000,2,,3,2416.6667
03566644,09,2017,900000,2,,4,2416.6667
03566644,09,2017,900000,2,,5,2416.6667
03566644,07,2017,900200,2,,1,14.1667
03566644,07,2017,900200,2,,2,14.1667
03566644,07,2017,900200,2,,3,14.1667
03566644,07,2017,900200,2,,4,14.1667
03566644,07,2017,900200,2,,5,14.1667
03566644,08,2017,900200,2,,1,14.1667
03566644,08,2017,900200,2,,2,14.1667
03566644,08,2017,900200,2,,3,14.1667
03566644,08,2017,900200,2,,4,14.1667
03566644,08,2017,900200,2,,5,14.1667
03566644,09,2017,900200,2,,1,14.1667
03566644,09,2017,900200,2,,2,14.1667
03566644,09,2017,900200,2,,3,14.1667
03566644,09,2017,900200,2,,4,14.1667
03566644,09,2017,900200,2,,5,14.1667
03566644,07,2017,980000,2,,1,2430.8333
03566644,07,2017,980000,2,,2,2430.8333
03566644,07,2017,980000,2,,3,2430.8333
03566644,07,2017,980000,2,,4,2430.8333
03566644,07,2017,980000,2,,5,2430.8333
03566644,08,2017,980000,2,,1,2430.8333
03566644,08,2017,980000,2,,2,2430.8333
03566644,08,2017,980000,2,,3,2430.8333
03566644,08,2017,980000,2,,4,2430.8333
03566644,08,2017,980000,2,,5,2430.8333
03566644,09,2017,980000,2,,1,2430.8333
03566644,09,2017,980000,2,,2,2430.8333
03566644,09,2017,980000,2,,3,2430.8333
03566644,09,2017,980000,2,,4,2430.8333
03566644,09,2017,980000,2,,5,2430.8333
03566664,07,2017,900030,2,,1,888
03566664,07,2017,900030,2,,2,1130
03566664,07,2017,900030,2,,3,952
03566664,07,2017,900030,2,,4,920
03566664,07,2017,900030,2,,5,1061
03566664,08,2017,900030,2,,1,888
03566664,08,2017,900030,2,,2,1130
03566664,08,2017,900030,2,,3,952
03566664,08,2017,900030,2,,4,920
03566664,08,2017,900030,2,,5,1061
03566664,09,2017,900030,2,,1,888
03566664,09,2017,900030,2,,2,1130
03566664,09,2017,900030,2,,3,952
03566664,09,2017,900030,2,,4,920
03566664,09,2017,900030,2,,5,1061
03566664,07,2017,980000,2,,1,888
03566664,07,2017,980000,2,,2,1130
03566664,07,2017,980000,2,,3,952
03566664,07,2017,980000,2,,4,920
03566664,07,2017,980000,2,,5,1061
03566664,08,2017,980000,2,,1,888
03566664,08,2017,980000,2,,2,1130
03566664,08,2017,980000,2,,3,952
03566664,08,2017,980000,2,,4,920
03566664,08,2017,980000,2,,5,1061
03566664,09,2017,980000,2,,1,888
03566664,09,2017,980000,2,,2,1130
03566664,09,2017,980000,2,,3,952
03566664,09,2017,980000,2,,4,920
