"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03089514",1,"2014","2013",3,0.153,0.153,"2",0.2106,0.3106,"44","D",0,0,0,"D",0,"D",32000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",1075,"D",0,"D",2,"D",6036,"D",-6091,0,-6091.22,-6302.36,0,0,4896,4896,32000,32000,0,0,30,0,1970,2000,0,0,4121.22,4302.36,32000,32000,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"03089614",1,"2014","2013",0,0.153,0.153,"2",0.1,0.1,"07","D",0.0075,0.0075,0,"D",0,"D",17812,"D",10000,"D",0,"D",0,"D",0,"D",0,"D",9576,"D",0,"D",3,"D",0,"D",0,"D",0,"D",781,29,781.2,751.2,28.59,28.59,4255.24,4255.24,27812,27812,27812.01,27812.01,0,0,0,0,0,0,0,0,27812,27812,0,0,781.2,751.2,781.2,751.2,0,0,0,0,0,0,0,0,0,0,0
"03089654",1,"2014","2013",2,0.153,0.153,"2",0.099,0.099,"10","D",0,0,0,"D",0,"D",0,"D",28009,"D",6231,"D",10784,"D",0,"D",0,"D",0,"D",2200,"D",30,"D",0,"D",2,"D",13532,"D",-702,0,-702.12,-722.97,0,0,4285.38,4285.38,45024,45024,0,0,1297.88,1277.03,702.12,722.97,0,0,0,0,31492,31492,0,0,1297.88,1277.03,1297.88,1277.03,0,0,0,0,0,0,0,0,0,0,0
"03089754",1,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",21000,"D",0,"D",-12,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",0,"D",0,"D",0,"D",240,"D",1202,0,1201.95,1171.95,0,0,3213,3213,20988,20988,0,0,0,0,0,0,0,0,0,0,20988,20988,0,0,1201.95,1171.95,1201.95,1171.95,0,0,0,0,0,0,0,0,0,0,0
"03089754",2,"2014","2013",0,0.153,0.153,"1",0.1765,0.1765,"44","D",0,0,0,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",21,0,21.3,-13.41,0,0,1836,1836,12000,12000,0,0,0,0,0,0,0,0,178.7,198.41,12000,12000,0,0,200,185,200,185,0,0,0,0,0,0,0,0,0,0,0
"03089794",1,"2014","2013",2,0.153,0.153,"2",0.15,0.15,"50","D",0.0751,0.0751,0,"D",0,"D",30000,"D",28000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2700,"D",400,"D",0,"D",0,"D",5548,"D",3638,1705,3637.5,3562.5,1704.76,1611.78,8874,8874,58000,58000,58000.01,58000.01,0,0,0,0,0,0,0,0,58000,58000,0,0,3637.5,3562.5,3637.5,3562.5,10314.7,10791.72,5548,5548,0,0,0,0,0,0,0
"03089814",1,"2014","2013",1,0.153,0.153,"3",0.15,0.15,"23","D",0.0425,0.0425,0,"D",0,"D",55096,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15,"D",0,"D",0,"D",0,"D",5114,2006,5114.4,5066.9,2005.83,2001.58,8429.69,8429.69,55096,55096,55096.01,55096.01,0,0,0,0,0,0,0,0,55096,55096,0,0,5114.4,5066.9,5114.4,5066.9,0,0,0,0,0,0,0,0,0,0,0
"03089834",1,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",24635,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3000,"D",40,"D",0,"D",0,"D",0,"D",1749,0,1749,1719,0,0,3769.15,3769.15,24635,24635,0,0,0,0,0,0,0,0,0,0,24635,24635,0,0,1749,1719,1749,1719,0,0,0,0,0,0,0,0,0,0,0
"03089834",2,"2014","2013",0,0.153,0.153,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",44817,"D",0,"D",-2000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4476,0,4476.3,4446.3,0,0,6857,6857,42817,42817,0,0,0,0,0,0,0,0,0,0,42817,42817,0,0,4476.3,4446.3,4476.3,4446.3,0,0,0,0,0,0,0,0,0,0,0
"03089964",1,"2014","2013",0,0.029,0.029,"2",0.2355,0.2325,"34","D",0.058,0.07,1,"D",0,"D",125000,"D",0,"D",-17500,"D",0,"D",14098,"D",0,"D",0,"D",2800,"D",0,"D",0,"D",0,"D",12936,"D",14362,5931,14361.58,14343.75,5930.98,5322.31,17723.8,18133,119483.3,119483.3,107500.01,107500.01,0,0,0,0,0,0,0,0,106547.3,106547.3,0,0,14361.58,14343.75,14361.58,14343.75,6000,15000,15736,15736,0,0,0,0,0,0,0
