"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_","DEEDED","DEEDED_"
"20163","03340103",30,0,"5","01","D","100","D",.,"A","3","D","04","D","2016","D",179000,"D",40000,"D",10000,"D",6000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D",,"A"
"20163","03340123",9,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340153",9,0,"5","01","D","100","D",.,"A","3","D",,"B","2004","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340173",22,0,"5","01","D","100","D",.,"A","3","D",,"B","1992","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340193",16,0,"5","01","D","100","D",.,"A","3","D",,"B","1970","D",.,"A",.,"A",.,"A",680,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340193",17,0,"5","02","D","400","D",.,"A","3","D",,"B","1963","D",.,"A",.,"A",.,"A",20,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340223",13,0,"5","01","D","100","D",.,"A","3","D",,"B","2000","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340243",6,0,"5","01","D","100","D",.,"A","3","D",,"B","1991","D",.,"A",.,"A",.,"A",330,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340263",10,0,"5","01","D","100","D",.,"A","3","D",,"B","1993","D",.,"A",.,"A",.,"A",1700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340263",11,0,"5","02","D","300","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",400,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340283",33,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",4200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340303",6,0,"5","01","D","100","D",.,"A","3","D",,"B","1996","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340343",45,0,"5","01","D","100","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340343",46,0,"5","02","D","400","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340363",52,0,"5","01","D","100","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",510,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340373",20,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340383",10,0,"5","01","D","100","D",.,"A","3","D",,"B","1992","D",.,"A",.,"A",.,"A",8700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340393",18,0,"5","01","D","100","D",.,"A","3","D",,"B","1995","D",.,"A",.,"A",.,"A",400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340413",33,0,"5","01","D","100","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340433",33,0,"5","01","D","100","D",.,"A","3","D",,"B","1973","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340453",44,0,"5","01","D","100","D",.,"A","3","D","06","D","2015","D",.,"A",.,"A",.,"A",16180,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340483",24,0,"5","01","D","100","D",.,"A","3","D",,"B","1976","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340503",22,0,"5","01","D","100","D",.,"A","1","D",,"B",,"C",.,"A",.,"A",.,"A",2400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340563",11,0,"5","01","D","100","D",.,"A","3","D","05","D","2016","D",259000,"D",50000,"D",2500,"D",1900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D",,"A"
"20163","03340563",13,0,"5","03","D","200","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340563",14,0,"5","04","D","300","D",.,"A","3","D",,"B","1999","D",.,"A",.,"A",.,"A",1200,"F","2","D",.,"A",,"A",.,"A","1","D",.,"C",,"A",,"A",,"A"
"20163","03340573",20,0,"5","01","D","100","D",.,"A","3","D",,"B","1971","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340603",33,0,"5","01","D","100","D",.,"A","3","D",,"B","2014","D",.,"A",.,"A",.,"A",600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340673",18,0,"5","01","D","100","D",.,"A","3","D",,"B","2002","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","1","D",,"A"
"20163","03340683",11,0,"5","01","D","100","D",.,"A","3","D",,"B","1978","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340693",13,0,"5","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340703",29,0,"5","01","D","100","D",.,"A","3","D",,"B","2004","D",.,"A",.,"A",.,"A",800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340753",10,0,"5","01","D","100","D",.,"A","3","D","09","D","2015","D",.,"A",.,"A",.,"A",380,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340783",21,0,"5","01","D","100","D",0.25,"D","3","D",,"B","2008","D",.,"A",.,"A",.,"A",16180,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340823",16,0,"5","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",1700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340923",21,0,"5","01","D","100","D",.,"A","3","D","05","D","2015","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340983",16,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03340983",17,0,"5","02","D","300","D",.,"A","3","D",,"B","2000","D",.,"A",.,"A",.,"A",18436,"T","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03340983",18,0,"5","03","D","300","D",.,"A","3","D",,"B","2001","D",.,"A",.,"A",.,"A",1000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341003",14,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341013",11,0,"5","01","D","100","D",.,"A","3","D",,"B","1968","D",.,"A",.,"A",.,"A",10000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341043",14,0,"5","01","D","100","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",920,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341093",11,0,"5","01","D","100","D",.,"A","1","D",,"B","2014","D",.,"A",.,"A",.,"A",500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341113",17,0,"5","01","D","100","D",.,"A","3","D",,"B","2002","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341143",11,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341213",37,0,"5","01","D","100","D",.,"A","3","D",,"B","1986","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341403",40,0,"5","01","D","100","D",.,"A","3","D",,"B","1971","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341403",51,0,"5","12","D","400","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341403",52,0,"5","13","D","400","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",330,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341453",8,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341463",10,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",1200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341473",16,0,"5","01","D","100","D",.,"A","3","D","05","D","2015","D",.,"A",.,"A",.,"A",3400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341493",21,0,"5","01","D","100","D",.,"A","3","D",,"B","1978","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","1","D",,"A"
"20163","03341513",15,0,"5","01","D","100","D",.,"A","3","D","02","D","2015","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341563",24,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341613",16,0,"5","01","D","100","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341623",18,0,"5","01","D","100","D",.,"A","3","D",,"B","2012","D",.,"A",.,"A",.,"A",480,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341633",27,0,"5","01","D","100","D",.,"A","3","D",,"B","2002","D",.,"A",.,"A",.,"A",5800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341633",29,0,"5","03","D","300","D",.,"A","3","D","07","D","2015","D",.,"A",.,"A",.,"A",8100,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341673",6,0,"5","01","D","100","D",.,"A","1","D",,"B","1999","D",.,"A",.,"A",.,"A",3500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341793",14,0,"5","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",4500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341813",20,0,"5","01","D","100","D",.,"A","3","D",,"B","1998","D",.,"A",.,"A",.,"A",7000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341843",44,0,"5","01","D","100","D",0.07,"D","3","D",,"B","2008","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341853",6,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",1500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341903",32,0,"5","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03341913",25,0,"5","01","D","100","D",.,"A","3","D",,"B","1972","D",.,"A",.,"A",.,"A",8700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341983",34,0,"5","01","D","100","D",.,"A","3","D","08","D","2015","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03341993",10,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",360,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342083",20,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",8100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342113",25,0,"5","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342113",26,0,"5","02","D","300","D",.,"A","1","D",,"B","2008","D",.,"A",.,"A",.,"A",0,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A",,"A"
"20163","03342113",27,0,"5","03","D","400","D",.,"A","3","D",,"B","2000","D",.,"A",.,"A",.,"A",30,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A",,"A",,"A"
"20163","03342123",6,0,"5","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342183",10,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342193",23,0,"5","01","D","100","D",.,"A","3","D","07","D","2015","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342213",27,0,"5","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",9000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342243",17,0,"5","01","D","100","D",.,"A","3","D",,"B","2004","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342283",24,0,"5","01","D","100","D",.,"A","3","D",,"B","1993","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342283",25,0,"5","02","D","400","D",.,"A","3","D",,"B","1983","D",.,"A",.,"A",.,"A",400,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A",,"A"
"20163","03342323",23,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342343",23,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342473",24,0,"5","01","D","100","D",.,"A","3","D",,"B","2011","D",.,"A",.,"A",.,"A",270,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342483",21,0,"5","01","D","100","D",.,"A","3","D",,"B","2013","D",.,"A",.,"A",.,"A",7000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342493",12,0,"5","01","D","100","D",.,"A","3","D","06","D","2015","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
"20163","03342553",27,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",660,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D",,"A"
