"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647635,1,"2011","2010",0,0.133,0.153,"1",0.15,0.15,"14","D",0.05,0.03,0,"D",0,"D",42748,"D",0,"D",0,"D",0,"D",0,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4191,1222,4190.95,4562.2,1222.44,2037.4,6540.44,5685.48,42748,42748,42748.01,42748.01,0,0,0,0,0,0,0,0,42748,42748,0,0,4590.95,4562.2,4590.95,4562.2,0,0,0,0,0,0,0,0,0,0,0
2647645,1,"2011","2010",0,0.133,0.153,"1",0.1486,0.1486,"48","D",0,0,0,"D",0,"D",42427,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3700,"D",0,"D",0,"D",0,"D",6192,"D",3418,0,3417.98,3803.32,0,0,6491.33,5642.79,42427,42427,0,0,0,0,0,0,0,0,0,0,36235,36235,0,0,3817.98,3803.32,3817.98,3803.32,0,0,0,0,0,0,0,0,0,0,0
2647645,2,"2011","2010",0,0.133,0.153,"1",0.1765,0.1765,"48","D",0,0,0,"D",0,"D",11752,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-290,0,-289.99,79.59,0,0,1798.06,1563.02,11752,11752,0,0,0,0,0,0,0,0,130.19,145.61,11752,11752,0,0,240.2,225.2,240.2,225.2,0,0,0,0,0,0,0,0,0,0,0
2647665,1,"2011","2010",2,0,0,"3",-0.4,-0.462,"18","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",453,"D",0,"D",0,"D",0,"D",200,"D",16,"D",0,"D",0,"D",4020,"D",0,0,0,0,0,0,0,0,453,453,0.01,0.01,0,0,0,0,0,0,0,0,453,453,0,0,0,0,0,0,2210,2240,4236,4236,0,0,0,0,0,0,0
2647675,1,"2011","2010",0,0,0,"1",0,0,"31","D",0,0,1,"D",1,"D",0,"D",0,"D",8794,"D",0,"D",14673,"D",0,"D",0,"D",15480,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,8794,8794,0,0,0,0,0,0,0,0,0,0,8794,8794,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
2647685,1,"2011","2010",0,0,0,"2",0.25,0.25,"10","D",0,0,2,"D",2,"D",0,"D",0,"D",54140,"D",22952,"D",27096,"D",0,"D",0,"D",550,"D",604,"D",0,"D",0,"D",0,"D",12168,0,12168.4,11955.9,0,0,0,0,100123.6,100123.6,0,0,0,0,0,0,0,0,0,0,100123.6,100123.6,0,0,12168.4,11955.9,12168.4,11955.9,0,0,0,0,0,0,0,0,0,0,0
2647705,1,"2011","2010",0,0,0,"1",-0.0765,-0.0765,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10355,"D",0,"D",0,"D",1300,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647745,1,"2011","2010",1,0.0506,0.0547,"2",0.2618,0.2818,"49","D",0.065,0.065,0,"D",0,"D",137500,"D",36000,"D",15000,"D",0,"D",0,"D",0,"D",0,"D",2681,"D",1314,"D",0,"D",0,"D",15268,"D",29527,10738,29527.36,29341.36,10737.5,10737.5,22738.7,19882.7,188500,188500,188500.01,188500.01,0,0,0,0,0,0,0,0,173232,173232,0,0,29557.36,29341.36,29557.36,29341.36,0,0,0,0,0,0,0,0,0,0,0
2647755,1,"2011","2010",0,0.133,0.153,"2",0.0765,0.0765,"11","D",0.05,0.05,0,"D",0,"D",17992,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",0,"D",0,"D",0,"D",0,"D",-836,310,-836.1,-50.75,309.6,309.6,2752.78,2392.94,17992,17992,17992.01,17992.01,0,0,0,0,0,0,36.1,50.75,17992,17992,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,0
2647755,2,"2011","2010",0,0.133,0.153,"1",0.1,0.1,"11","D",0.06,0.06,0,"D",0,"D",16026,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",268,467,267.6,652.6,466.56,466.56,2451.98,2131.46,16026,16026,16026.01,16026.01,0,0,0,0,0,0,0,0,16026,16026,0,0,667.6,652.6,667.6,652.6,2300,2300,0,0,0,0,0,0,0,0,0
