"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20131",2513925,25,0,"1","170","D","12","D",150,"D"
"20131",2513925,26,0,"2","150","D","10","D",40,"D"
"20131",2513935,20,0,"1","170","D","12","D",400,"D"
"20131",2513955,15,0,"1","100","D","11","D",25,"D"
"20131",2513955,16,0,"1","170","D","10","D",150,"D"
"20131",2513965,15,0,"1","160","D","13","D",21,"D"
"20131",2513975,15,0,"1","160","D","11","D",1500,"D"
"20131",2514015,18,0,"1","160","D","12","D",2,"D"
"20131",2514195,22,0,"1","170","D","12","D",300,"D"
"20131",2514195,23,0,"1","150","D","12","D",100,"D"
"20131",2514215,15,0,"1","150","D","12","D",372,"D"
"20131",2514215,16,0,"1","140","D","12","D",400,"D"
"20131",2514235,19,0,"1","170","D","13","D",200,"D"
"20131",2514235,20,0,"2","170","D","10","D",200,"D"
"20131",2514245,14,0,"1","150","D","12","D",70,"D"
"20131",2514285,13,0,"1","170","D","12","D",600,"D"
"20131",2514325,16,0,"1","100","D","13","D",500,"D"
"20131",2514385,20,0,"1","160","D","13","D",130,"D"
"20131",2514485,15,0,"1","170","D","12","D",400,"D"
"20131",2514535,24,0,"1","170","D","12","D",200,"D"
"20131",2514585,15,0,"1","150","D","13","D",300,"D"
"20131",2514585,16,0,"2","100","D","10","D",150,"D"
"20131",2514595,22,0,"1","170","D","12","D",135,"D"
"20131",2514595,23,0,"1","160","D","12","D",185,"D"
"20131",2514605,17,0,"1","110","D","13","D",900,"D"
"20131",2514615,17,0,"1","170","D","11","D",25,"D"
"20131",2514615,18,0,"1","140","D","10","D",400,"D"
"20131",2514615,19,0,"1","130","D","11","D",75,"D"
"20131",2514615,20,0,"1","160","D","13","D",58,"D"
"20131",2514645,14,0,"1","150","D","10","D",100,"D"
"20131",2514645,15,0,"1","150","D","11","D",120,"D"
"20131",2514645,16,0,"1","150","D","12","D",100,"D"
"20131",2514645,17,0,"2","150","D","10","D",25,"D"
"20131",2514675,15,0,"1","150","D","13","D",100,"D"
"20131",2514705,36,0,"1","150","D","10","D",125,"D"
"20131",2514705,37,0,"1","150","D","11","D",225,"D"
"20131",2514705,38,0,"1","150","D","12","D",225,"D"
"20131",2514705,39,0,"2","150","D","10","D",50,"D"
"20131",2514715,14,0,"1","110","D","13","D",332,"D"
"20131",2514715,15,0,"1","160","D","13","D",4,"D"
"20131",2514735,18,0,"1","150","D","13","D",40,"D"
"20131",2514735,19,0,"1","140","D","13","D",15,"D"
"20131",2514755,17,0,"1","150","D","13","D",100,"D"
"20131",2514775,19,0,"1","150","D","13","D",40,"D"
"20131",2514775,20,0,"1","160","D","11","D",20,"D"
