"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20141",2758182,16,0,"5","01","D","100","D",0.0784,"D",54937,"D",30,"D",397,"D",,"A",,"A",,"A",,"A",0,"D",41,"D",41,"D",41,"D",356,"D",356,"D",356,"D",,"A","12","D","2012","D","1","D",,"A",54545,"D",54504,"D",54463,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758252,26,0,"5","01","D","100","D",0.0525,"F",604198,"V",30,"F",5124,"V",,"B",,"B",,"B",,"B",62,"F",835,"F",839,"F",843,"F",2738,"F",2734,"F",2730,"F",,"A","07","F","2011","F","1","F",,"A",552549,"V",551756,"V",551375,"V","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758352,48,0,"5","01","D","100","D",0.0973,"D",97355,"D",30,"D",835,"D",,"A",,"A",,"A",,"A",0,"D",424,"D",427,"D",431,"D",411,"D",408,"D",404,"D",,"A","11","D","1990","D","1","D",,"A",50723,"D",50299,"D",49872,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758402,12,0,"5","01","D","100","D",0.0784,"F",188198,"F",30,"F",1360,"F",,"C",,"C",,"C",,"C",0,"F",233,"F",234,"F",236,"F",1127,"F",1126,"F",1124,"F",,"A","05","F","2006","F","1","F",,"A",172520,"F",172287,"F",172052,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20141",2758412,33,0,"5","01","D","100","D",0.0745,"D",54000,"D",30,"D",1203,"D","3","D","4","D",,"A",,"A",827,"D",199,"D",200,"D",201,"D",177,"D",176,"D",175,"D",,"A","07","D","1992","D","1","D",,"A",28556,"D",28357,"D",28157,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758442,10,0,"5","01","D","200","D",0.045,"D",116000,"D",30,"D",1199,"D",,"B",,"B",,"B",,"B",611,"D",210,"D",210,"D",211,"D",378,"D",378,"D",377,"D",,"A","11","D","2006","D","1","D",,"A",100926,"D",100717,"D",100507,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758522,24,0,"1","01","D","100","D",0.0784,"D",114164,"D",30,"D",825,"D",,"A",,"A",,"A",,"A",0,"D",93,"D",94,"D",94,"D",732,"D",731,"D",731,"D",,"A","10","D","2011","D","1","D",,"A",112023,"D",111930,"D",111836,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758532,23,0,"5","01","D","100","D",0.05,"D",125000,"D",30,"D",1100,"D","3","D","4","D",,"A",,"A",429,"D",218,"D",219,"D",220,"D",453,"D",452,"D",451,"D",,"A","05","D","2006","D","1","D",,"A",108643,"D",108425,"D",108205,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758652,18,0,"5","01","D","100","D",0.04,"D",27000,"D",30,"D",295,"D","3","D","4","D",,"A",,"A",166,"D",40,"D",40,"D",40,"D",89,"D",89,"D",89,"D",,"A","05","D","2013","D","1","D",,"A",26764,"D",26724,"D",26684,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758662,16,0,"5","01","D","100","D",0.04,"D",350000,"D",30,"D",3000,"D","3","D",,"A",,"A",,"A",1329,"D",647,"D",649,"D",652,"D",1024,"D",1022,"D",1019,"D",,"A","08","D","2007","D","1","D",,"A",307108,"D",306460,"D",305811,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
