"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20131",2516905,84,0,"1","400","D","12","D",89,"D",,"A",,"A",,"A",,"A"
"20131",2516985,25,0,"1","410","D","10","D",16,"F",,"A",,"A",,"A",,"A"
"20131",2517025,57,0,"1","420","D","12","D",360,"D",,"A",,"A",,"A",,"A"
"20131",2517045,30,0,"1","400","D","12","D",25,"D",,"A",,"A",,"A",,"A"
"20131",2517065,36,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20131",2517185,74,0,"1","420","D","11","D",99,"D",,"A",,"A",,"A",,"A"
"20131",2517325,78,0,"1","420","D","10","D",47,"D",,"A",,"A",,"A",,"A"
"20131",2517325,79,0,"2","420","D","10","D",47,"D",,"A",,"A",,"A",,"A"
"20131",2517375,56,0,"2","420","D","10","D",64,"D",,"A",,"A",,"A",,"A"
"20131",2517435,46,0,"1","410","D","11","D",15,"D",,"A",,"A",,"A",,"A"
"20131",2517525,67,0,"1","420","D","11","D",120,"D",,"A",,"A",,"A",,"A"
"20131",2517525,68,0,"2","410","D","10","D",5,"D",,"A",,"A",,"A",,"A"
"20131",2517565,40,0,"1","430","D","10","D",.,"H","400","D","425","D",,"A",,"A"
"20131",2517565,40,1,"1","400","D","10","D",84,"E",,"A",,"A",,"A",,"A"
"20131",2517565,40,2,"1","420","D","10","D",116,"E",,"A",,"A",,"A",,"A"
"20131",2517575,51,0,"1","420","D","12","D",120,"D",,"A",,"A",,"A",,"A"
"20131",2517585,92,0,"1","400","D","11","D",32,"D",,"A",,"A",,"A",,"A"
"20131",2517585,93,0,"1","400","D","12","D",32,"D",,"A",,"A",,"A",,"A"
"20131",2517585,94,0,"1","410","D","12","D",17,"D",,"A",,"A",,"A",,"A"
"20131",2517585,95,0,"1","420","D","10","D",99,"D",,"A",,"A",,"A",,"A"
