"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20131",2513935,21,0,"1","300","D","2","D","1","D","12","D",.,"A",10000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514035,13,0,"1","360","D","1","D","2","D","11","D",.,"A",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514325,17,0,"1","300","D","2","D","1","D","13","D",.,"A",159,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514515,30,0,"1","200","D","1","D","3","D","13","D",.,"A",1700,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514515,31,0,"2","200","D","1","D","3","D","10","D",.,"A",1680,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514535,26,0,"1","100","D","1","D","6","D","13","D",.,"A",450,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514535,27,0,"1","300","D","1","D","2","D","13","D",.,"A",2460,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514535,28,0,"1","300","D","1","D","1","D","11","D",.,"A",190,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514575,13,0,"1","200","D","1","D","3","D","13","D",.,"A",122,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514595,24,0,"1","300","D","1","D","1","D","12","D",.,"A",243,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514705,42,0,"1","300","D","1","D","1","D","12","D",.,"A",1256,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514705,43,0,"1","350","D","1","D","1","D","12","D",.,"A",88,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514705,44,0,"1","360","D","1","D","1","D","10","D",.,"A",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514705,45,0,"1","360","D","1","D","1","D","11","D",.,"A",380,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514875,15,0,"1","200","D","1","D","4","D","13","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2514965,26,0,"1","300","D","1","D","1","D","12","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515025,31,0,"1","100","D","1","D","2","D","13","D",.,"A",275,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515025,32,0,"1","320","D","1","D","2","D","13","D",.,"A",133,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515055,28,0,"2","370","D","1","D","1","D","10","D",.,"A",.,"H","350","D","300","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515055,28,1,"2","350","D","1","D","1","D","10","D",.,"A",265,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515055,28,2,"2","300","D","1","D","1","D","10","D",.,"A",1792,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515075,15,0,"1","200","D","1","D","3","D","11","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515075,16,0,"1","200","D","1","D","3","D","10","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515115,22,0,"1","200","D","1","D","2","D","13","D",.,"A",1150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515115,23,0,"1","100","D","1","D","6","D","12","D",.,"A",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515115,24,0,"1","100","D","1","D","6","D","11","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515375,18,0,"1","360","D","1","D","6","D","11","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515495,15,0,"1","300","D","1","D","1","D","10","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515565,20,0,"1","360","D","1","D","2","D","10","D",.,"A",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515765,14,0,"1","200","D","1","D","4","D","13","D",.,"A",450,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,23,0,"1","380","D","1","D","1","D","12","D",.,"A",.,"H","380","D","300","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,23,1,"1","300","D","1","D","1","D","12","D",.,"A",659,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,23,2,"1","320","D","1","D","1","D","12","D",.,"A",65,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,23,3,"1","350","D","1","D","1","D","12","D",.,"A",285,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,23,4,"1","360","D","1","D","1","D","12","D",.,"A",91,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,24,0,"1","380","D","1","D","1","D","13","D",.,"A",.,"H","380","D","320","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2515815,24,1,"1","300","D","1","D","1","D","13","D",.,"A",599,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
