"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20131",2513995,22,0,"5","01","D","110","D","2012","D",.,"A",36,"D","04","D",417,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",417,"D",417,"D",417,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAB","D",,"A",,"A"
"20131",2514445,28,0,"5","01","D","100","D","2006","D",.,"A",60,"D","11","D",330,"D","3","D",.,"A",.,"A",1600,"D",.,"A",,"A",330,"D",330,"D",330,"D",.,"A",.,"A",.,"A",1600,"D",.,"A","FORBA","D",,"A",,"A"
"20131",2516485,42,0,"1","01","D","100","D","2008","D",.,"A",60,"D","10","D",450,"D","3","D",.,"A",.,"A",.,"A",.,"A","12","D",450,"D",450,"D",450,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXXX","D","2013","D",,"A"
"20131",2516975,43,0,"5","01","D","100","D","2011","D",.,"A",30,"D","03","D",360,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",360,"D",360,"D",360,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","BMWAA","D",,"A",,"A"
"20131",2517355,52,0,"5","01","D","100","D","2009","D",.,"A",39,"D","10","D",294,"D","3","D",.,"A",3000,"D",.,"A",.,"A","10","F",294,"D",294,"D",294,"D",.,"A",.,"A",.,"A",.,"A",150,"D","NISAD","D",,"A",,"A"
"20131",2517415,50,0,"5","01","D","100","D","2011","D",.,"A",39,"D","02","D",300,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","NISAD","D",,"A",,"A"
"20131",2518675,26,0,"5","01","D","100","D","2012","D",.,"A",30,"D","01","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",355,"F",355,"F",355,"F",.,"A",.,"A",.,"A",.,"A",.,"A","MRBAH","D",,"A",,"A"
"20131",2518675,27,0,"5","02","D","100","D","2010","D",.,"A",30,"D","06","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"F",400,"F",400,"F",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAI","D",,"A",,"A"
"20131",2520115,42,0,"5","01","D","100","D","2013","D",.,"A",36,"D","08","D",242,"D","3","D",.,"A",7500,"D",.,"A",.,"A",,"A",242,"D",242,"D",242,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAG","D",,"A",,"A"
"20131",2520195,33,0,"5","01","D","100","D","2012","D",.,"A",30,"D","11","D",360,"D","3","D",.,"A",24000,"D",.,"A",.,"A",,"A",.,"A",360,"D",360,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BUIAN","D",,"A",,"A"
"20131",2522105,36,0,"5","01","D","100","D","2011","D",.,"A",36,"D","11","D",308,"D","3","D",.,"A",800,"D",.,"A",.,"A",,"A",308,"D",308,"D",308,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A",,"A"
"20131",2523135,64,0,"5","01","D","100","D","2011","D",.,"A",36,"D","09","D",285,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",285,"D",285,"D",285,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","TOYAC","D",,"A",,"A"
"20131",2523865,24,0,"5","01","D","110","D","2011","D",.,"A",72,"D","01","D",500,"D","3","D",.,"A",.,"A",4000,"D",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","FORAO","D",,"A",,"A"
"20131",2524455,23,0,"5","01","D","100","D","2013","D",.,"A",75,"D","12","D",358,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",358,"D",358,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A",,"A"
"20131",2525015,32,0,"5","01","D","110","D","2012","D",.,"A",36,"D","02","D",400,"D","3","D",.,"A",8000,"D",2000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","JEEAB","D",,"A",,"A"
"20131",2525245,20,0,"5","01","D","110","D","2011","D",.,"A",36,"D","06","D",500,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"B",.,"A","CADAG","D",,"A",,"A"
"20131",2526115,23,0,"5","01","D","110","D","2012","D",.,"A",36,"D","12","D",486,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",.,"A",486,"D",486,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","HONAG","D",,"A",,"A"
"20131",2526125,24,0,"5","01","D","110","D","2010","D",.,"A",60,"D","01","D",365,"D","3","D",.,"A",1000,"D",5000,"D",.,"A",,"A",365,"D",365,"D",365,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","NISAW","D",,"A",,"A"
"20131",2526765,32,0,"5","01","D","100","D","2009","D",.,"A",36,"D","04","D",500,"D","3","D",.,"A",.,"A",6000,"D",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",6000,"D",.,"A","MRBAH","D",,"A",,"A"
"20131",2530365,28,0,"5","01","D","100","D","2011","D",.,"A",36,"D","02","D",597,"D","3","D",.,"A",32000,"D",.,"A",.,"A",,"A",597,"D",597,"D",597,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CADAL","D",,"A",,"A"
"20131",2530765,46,0,"5","03","D","100","D","2012","D",.,"A",36,"D","10","D",265,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",265,"D",265,"D",265,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAK","D",,"A",,"A"
"20131",2530785,21,0,"5","01","D","100","D","2007","D",.,"A",24,"D","07","D",224,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",224,"D",224,"D",224,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","KIAAC","D",,"A",,"A"
