"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20161","03099904",4,0,"1","160","D","13","D",20,"D"
"20161","03099964",6,0,"1","170","D","12","D",150,"D"
"20161","03099964",7,0,"1","170","D","12","D",100,"D"
"20161","03099964",8,0,"1","150","D","13","D",20,"D"
"20161","03100044",3,0,"1","170","D","12","D",400,"D"
"20161","03100044",4,0,"1","160","D","10","D",100,"D"
"20161","03100044",5,0,"1","150","D","13","D",75,"D"
"20161","03100174",8,0,"2","170","D","10","D",30,"D"
"20161","03100194",10,0,"1","110","D","13","D",240,"D"
"20161","03100194",11,0,"2","170","D","10","D",60,"D"
"20161","03100254",6,0,"1","150","D","13","D",50,"D"
"20161","03100274",2,0,"1","140","D","12","D",25,"D"
"20161","03100404",4,0,"1","150","D","10","D",640,"D"
"20161","03100404",5,0,"1","150","D","11","D",600,"D"
"20161","03100404",6,0,"1","150","D","12","D",540,"D"
"20161","03100504",1,0,"1","160","D","11","D",5,"D"
"20161","03100674",5,0,"1","150","D","13","D",150,"D"
"20161","03100874",8,0,"1","170","D","12","D",75,"D"
"20161","03101094",10,0,"1","160","D","12","D",50,"D"
"20161","03101154",1,0,"1","170","D","12","D",300,"D"
"20161","03101234",9,0,"1","150","D","13","D",50,"D"
"20161","03101234",10,0,"1","160","D","13","D",100,"D"
"20161","03101234",11,0,"1","130","D","13","D",25,"D"
"20161","03101234",12,0,"1","180","D","13","D",200,"D"
"20161","03101244",19,0,"2","170","D","10","D",65,"D"
"20161","03101244",20,0,"2","150","D","10","D",20,"D"
"20161","03101494",2,0,"1","150","D","13","D",1000,"D"
"20161","03101694",1,0,"1","150","D","13","D",150,"D"
"20161","03101694",2,0,"1","160","D","10","D",70,"D"
"20161","03101714",9,0,"1","170","D","12","D",50,"D"
"20161","03101714",10,0,"1","180","D","11","D",100,"D"
"20161","03101724",4,0,"1","170","D","12","D",20,"D"
"20161","03101724",5,0,"1","160","D","12","D",500,"D"
"20161","03101764",30,0,"1","170","D","12","D",50,"D"
"20161","03101764",31,0,"1","170","D","12","D",50,"D"
"20161","03101764",32,0,"1","170","D","12","D",30,"D"
"20161","03101764",33,0,"1","170","D","12","D",30,"D"
"20161","03101764",34,0,"1","170","D","12","D",200,"D"
"20161","03101764",35,0,"1","140","D","13","D",175,"D"
"20161","03101764",36,0,"1","150","D","13","D",250,"D"
"20161","03101764",37,0,"1","160","D","12","D",50,"D"
"20161","03101764",38,0,"1","140","D","12","D",175,"D"
"20161","03101904",8,0,"1","170","D","12","D",100,"D"
"20161","03102214",3,0,"1","170","D","12","D",115,"D"
"20161","03102214",4,0,"1","170","D","11","D",3000,"D"
"20161","03102214",5,0,"1","150","D","10","D",1130,"D"
"20161","03102214",6,0,"1","150","D","11","D",830,"D"
"20161","03102214",7,0,"1","150","D","12","D",830,"D"
"20161","03102274",1,0,"1","170","D","12","D",120,"D"
