"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20164","03466922",52,0,"1","405","D","10","D",135,"D",,"A",,"A",,"A",,"A"
"20164","03466962",44,0,"1","410","D","10","D",35,"D",,"A",,"A",,"A",,"A"
"20164","03466962",45,0,"1","410","D","10","D",40,"D",,"A",,"A",,"A",,"A"
"20164","03466992",39,0,"1","420","D","10","D",140,"D",,"A",,"A",,"A",,"A"
"20164","03467012",63,0,"1","420","D","09","D",75,"D",,"A",,"A",,"A",,"A"
"20164","03467112",19,0,"1","420","D","09","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03467272",62,0,"1","420","D","10","D",550,"D",,"A",,"A",,"A",,"A"
"20164","03467312",16,0,"1","400","D","10","D",20,"D",,"A",,"A",,"A",,"A"
"20164","03467352",96,0,"1","400","D","09","D",25,"F",,"A",,"A",,"A",,"A"
"20164","03467362",38,0,"1","410","D","10","D",70,"D",,"A",,"A",,"A",,"A"
"20164","03467412",39,0,"1","420","D","10","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03467454",29,0,"1","430","D","10","D",.,"H","415","D","405","D","425","D",,"A"
"20164","03467454",29,1,"1","420","D","10","D",492,"E",,"A",,"A",,"A",,"A"
"20164","03467454",29,2,"1","420","D","10","D",1508,"E",,"A",,"A",,"A",,"A"
"20164","03467512",39,0,"1","410","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03467512",40,0,"1","420","D","10","D",98,"D",,"A",,"A",,"A",,"A"
"20164","03467542",36,0,"1","400","D","10","D",34,"D",,"A",,"A",,"A",,"A"
"20164","03467572",36,0,"1","400","D","08","D",300,"D",,"A",,"A",,"A",,"A"
"20164","03467672",27,0,"1","410","D","09","D",33,"D",,"A",,"A",,"A",,"A"
"20164","03467912",21,0,"1","410","D","08","D",16,"D",,"A",,"A",,"A",,"A"
"20164","03467912",22,0,"1","420","D","08","D",45,"D",,"A",,"A",,"A",,"A"
"20164","03467922",26,0,"2","420","D","08","D",63,"D",,"A",,"A",,"A",,"A"
"20164","03467932",30,0,"1","410","D","08","D",30,"D",,"A",,"A",,"A",,"A"
"20164","03467932",31,0,"1","430","D","08","D",.,"H","405","D","415","D",,"A",,"A"
"20164","03467932",31,1,"1","405","D","08","D",71,"E",,"A",,"A",,"A",,"A"
"20164","03467932",31,2,"1","420","D","08","D",35,"E",,"A",,"A",,"A",,"A"
"20164","03468022",35,0,"2","420","D","08","D",58,"D",,"A",,"A",,"A",,"A"
"20164","03468052",44,0,"1","420","D","10","D",54,"D",,"A",,"A",,"A",,"A"
"20164","03468162",69,0,"2","420","D","08","D",178,"D",,"A",,"A",,"A",,"A"
"20164","03468222",21,0,"1","420","D","08","D",230,"D",,"A",,"A",,"A",,"A"
"20164","03468442",40,0,"2","400","D","08","D",125,"D",,"A",,"A",,"A",,"A"
"20164","03468632",34,0,"1","420","D","10","D",325,"D",,"A",,"A",,"A",,"A"
"20164","03468742",40,0,"1","400","D","10","D",60,"D",,"A",,"A",,"A",,"A"
"20164","03468792",49,0,"1","410","D","09","D",62,"D",,"A",,"A",,"A",,"A"
